iter,phase,split,delay_ns,status,loss,timing_loss,count_penalty,order_penalty,energy_penalty,energy_pj,spike0_first_ns,spike1_first_ns,spike2_first_ns,spike3_first_ns,spike0_target_ns,spike1_target_ns,spike2_target_ns,spike3_target_ns,spike0_count,spike1_count,spike2_count,spike3_count,eval_dir
0,iter_00_train_base,train,5.000000000,OK,672.098587124,0.068467401,672.000000000,0.000000000,0.030119723,134.806547808,9.676048867,12.257209350,13.215085018,13.726522514,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185340_count_stress3/iter_00_train_base/trace_00_5.000ns
0,iter_00_train_base,train,8.000000000,OK,672.097582822,0.067702545,672.000000000,0.000000000,0.029880277,133.734865781,12.673473367,15.255290674,16.214586022,16.726692595,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185340_count_stress3/iter_00_train_base/trace_01_8.000ns
0,iter_00_holdout_base,holdout,6.500000000,OK,672.096753322,0.066739910,672.000000000,0.000000000,0.030013412,134.330735751,11.166304922,13.754174793,14.716145571,15.228252768,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185340_count_stress3/iter_00_holdout_base/trace_00_6.500ns
0,iter_00_holdout_base,holdout,9.500000000,OK,672.096972294,0.067256052,672.000000000,0.000000000,0.029716242,133.000694219,14.173501905,16.755263072,17.711854722,18.223545504,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185340_count_stress3/iter_00_holdout_base/trace_01_9.500ns
1,final,train,5.000000000,OK,672.096640337,0.066521140,672.000000000,0.000000000,0.030119197,134.804193901,9.665350423,12.255554973,13.213890544,13.726548504,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185340_count_stress3/final_train/trace_00_5.000ns
1,final,train,8.000000000,OK,672.096769573,0.066890545,672.000000000,0.000000000,0.029879028,133.729273077,12.671380952,15.253291972,16.213473221,16.726022386,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185340_count_stress3/final_train/trace_01_8.000ns
1,final,holdout,6.500000000,OK,672.097375565,0.067360169,672.000000000,0.000000000,0.030015396,134.339616129,11.173360410,13.752888221,14.715053775,15.227841737,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185340_count_stress3/final_holdout/trace_00_6.500ns
1,final,holdout,9.500000000,OK,672.096137649,0.066421252,672.000000000,0.000000000,0.029716397,133.001389142,14.170879497,16.753482159,17.710726161,18.223176950,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185340_count_stress3/final_holdout/trace_01_9.500ns
