event_index,spike_time_ns,event_energy_j,event_energy_pj
1,7.070975,2.639491156e-12,2.639491
2,25.156126,2.920133401e-12,2.920133
3,45.148543,3.121526002e-12,3.121526
4,65.148496,3.121818196e-12,3.121818
5,85.148496,3.121846780e-12,3.121847
6,105.148496,3.121846159e-12,3.121846
7,125.148496,3.121846255e-12,3.121846
8,145.148496,3.121846247e-12,3.121846
9,165.148496,3.121846247e-12,3.121846
10,185.148496,3.703826610e-12,3.703827

bootstrap_mean_energy_per_spike_j,bootstrap_mean_energy_per_spike_pj
2.812229928e-12,2.812230
2.908668922e-12,2.908669
2.908700901e-12,2.908701
2.908724502e-12,2.908725
2.916588284e-12,2.916588
2.916623062e-12,2.916623
2.916625858e-12,2.916626
2.918695560e-12,2.918696
2.928831746e-12,2.928832
2.928869364e-12,2.928869
2.928872179e-12,2.928872
2.928872285e-12,2.928872
2.928872294e-12,2.928872
2.928904203e-12,2.928904
2.928904246e-12,2.928904
2.936730288e-12,2.936730
2.936762374e-12,2.936762
2.936765109e-12,2.936765
2.936765126e-12,2.936765
2.936765128e-12,2.936765
2.936765180e-12,2.936765
2.936797152e-12,2.936797
2.936797153e-12,2.936797
2.944623236e-12,2.944623
2.944655252e-12,2.944655
2.946727655e-12,2.946728
2.946756927e-12,2.946757
2.956872468e-12,2.956872
2.956901574e-12,2.956902
2.956904493e-12,2.956904
2.956930792e-12,2.956931
2.956933588e-12,2.956934
2.956933596e-12,2.956934
2.956933607e-12,2.956934
2.956936412e-12,2.956936
2.956936456e-12,2.956936
2.956936509e-12,2.956937
2.956960003e-12,2.956960
2.956962816e-12,2.956963
2.956962817e-12,2.956963
2.956962826e-12,2.956963
2.956965666e-12,2.956966
2.964765301e-12,2.964765
2.964823740e-12,2.964824
2.964826536e-12,2.964827
2.964826599e-12,2.964827
2.964829448e-12,2.964829
2.964829457e-12,2.964829
2.964855809e-12,2.964856
2.966925353e-12,2.966925
2.966930998e-12,2.966931
2.974791922e-12,2.974792
2.977073079e-12,2.977073
2.977102130e-12,2.977102
2.977102183e-12,2.977102
2.977102245e-12,2.977102
2.977105032e-12,2.977105
2.977107740e-12,2.977108
2.977107803e-12,2.977108
2.977128597e-12,2.977129
2.977131306e-12,2.977131
2.977134093e-12,2.977134
2.977134154e-12,2.977134
2.977134155e-12,2.977134
2.977136889e-12,2.977137
2.977136898e-12,2.977137
2.977136906e-12,2.977137
2.977136961e-12,2.977137
2.977139756e-12,2.977140
2.977139757e-12,2.977140
2.984786429e-12,2.984786
2.984904562e-12,2.984905
2.984965851e-12,2.984966
2.984965859e-12,2.984966
2.984965859e-12,2.984966
2.984968585e-12,2.984969
2.984968612e-12,2.984969
2.984968656e-12,2.984969
2.984968665e-12,2.984969
2.984968718e-12,2.984969
2.984995080e-12,2.984995
2.984997821e-12,2.984998
2.984997821e-12,2.984998
2.984997822e-12,2.984998
2.984997822e-12,2.984998
2.984997884e-12,2.984998
2.984997936e-12,2.984998
2.985000618e-12,2.985001
2.985000681e-12,2.985001
2.985000849e-12,2.985001
