time_ns,phase,mem_meas_v,mem_model_global_step_v,mem_model_piecewise_step_v,out_v,spike_v,dmem_dt_meas_v_per_s,dmem_dt_global_v_per_s,dmem_dt_piecewise_v_per_s
0.000,charge,0.000000000,0.000000000,0.000000000,1.800000000,0.000000000,0.000000e+00,6.754761e+07,4.446992e+07
0.500,charge,0.000000000,0.033773805,0.022234958,1.800000000,0.000000000,0.000000e+00,6.754761e+07,4.446992e+07
1.000,charge,0.000000000,0.033773805,0.022234958,1.800000000,0.000000000,0.000000e+00,6.754761e+07,4.446992e+07
1.500,charge,0.000000000,0.033773805,0.022234958,1.800000000,0.000000000,0.000000e+00,6.754761e+07,4.446992e+07
2.000,charge,0.000000000,0.033773805,0.022234958,1.800000000,0.000000000,0.000000e+00,6.754761e+07,4.446992e+07
2.500,charge,0.000000000,0.033773805,0.022234958,1.800000000,0.000000000,0.000000e+00,6.754761e+07,4.446992e+07
3.000,charge,0.000000000,0.033773805,0.022234958,1.800000000,0.000000000,0.000000e+00,6.754761e+07,4.446992e+07
3.500,charge,0.000000000,0.033773805,0.022234958,1.800000000,0.000000000,0.000000e+00,6.754761e+07,4.446992e+07
4.000,charge,0.000000000,0.033773805,0.022234958,1.800000000,0.000000000,0.000000e+00,6.754761e+07,4.446992e+07
4.500,charge,0.000000000,0.033773805,0.022234958,1.800000000,0.000000000,0.000000e+00,6.754761e+07,4.446992e+07
5.000,charge,0.000000000,0.033773805,0.022234958,1.800000000,0.000000000,3.998900e+08,6.754761e+07,4.446992e+07
5.500,charge,0.199945000,0.033773805,0.022234958,1.800000000,0.000121000,3.998560e+08,5.529990e+07,2.433784e+08
6.000,charge,0.399873000,0.227594950,0.321634186,1.800003000,0.001874000,3.998080e+08,4.303593e+07,4.245615e+08
6.500,charge,0.599777000,0.421390964,0.612153772,1.799893000,0.016909000,3.995780e+08,3.063293e+07,4.746004e+08
7.000,charge,0.799566000,0.615093466,0.837077177,1.786162000,0.182279000,6.983000e+07,1.667723e+07,2.078286e+08
7.500,reset,0.834481000,0.807904615,0.903480276,0.008755000,1.595030000,-5.306000e+07,3.949324e+06,-5.506579e+07
8.000,reset,0.807951000,0.836455662,0.806948103,0.072851000,1.275421000,-1.121000e+07,8.803592e+06,5.249724e+07
8.500,decay,0.802346000,0.812352796,0.834199622,1.763278000,0.271766000,-2.192000e+06,1.561496e+07,-2.099784e+06
9.000,decay,0.801250000,0.810153480,0.801296108,1.767228000,0.257523000,-1.984000e+06,1.582330e+07,-1.940225e+06
9.500,decay,0.800258000,0.809161651,0.800279888,1.770517000,0.246269000,-1.864000e+06,1.599523e+07,-1.843396e+06
