iter,phase,loss,timing_loss,count_penalty,order_penalty,energy_penalty,energy_pj,r_fb,rleak,iin_amp,spike0_ns,spike1_ns,spike2_ns,spike3_ns,holdout_loss,holdout_timing_loss,holdout_energy_pj,grad_r_fb_x,grad_rleak_x,grad_iin_amp_x,update_r_fb_x,update_rleak_x,update_iin_amp_x
0,iter_00_train_base,3.008759210,1.000000000,0.000000000,0.000000000,2.008759210,134.526587290,1000.000000000,8000000.000000000,1.800000000,10.507984435,13.086461829,14.047056927,14.559000067,2.991240790,1.000000000,133.353378882,1.029558069,-0.000850214,5.418773339,-0.007910684,0.000005101,-0.017813911
1,iter_01_train_base,2.904784054,0.911218466,0.000000000,0.000000000,1.993565588,133.509070586,992.089315798,8000005.101112588,1.782186089,10.555800944,13.133431758,14.098711457,14.594332683,2.886213258,0.910157103,132.336463973,0.958003683,-0.001752325,5.799561264,-0.007381181,0.000010513,-0.018830013
2,iter_02_train_base,2.781549905,0.804592152,0.000000000,0.000000000,1.976957753,132.396843991,984.708134299,8000015.614327340,1.763356076,10.607442564,13.182340128,14.155137859,14.667707173,2.763666282,0.804083120,131.233267796,0.892723132,0.000122879,5.972227057,-0.006895552,-0.000000737,-0.019282524
3,iter_03_train_base,2.662925690,0.703300705,0.000000000,0.000000000,1.959624985,131.236068652,977.812582005,8000014.877055563,1.744073552,10.667691064,13.235849681,14.217637883,14.724985353,2.646902940,0.704605110,130.075669215,0.922997370,0.004243606,5.818128065,-0.007121070,-0.000025457,-0.018878915
4,iter_04_train_base,2.544510011,0.602391598,0.000000000,0.000000000,1.942118413,130.063653684,970.691512191,7999989.419743414,1.725194638,10.728701745,13.294027111,14.284850280,14.788698150,2.528123914,0.603151141,128.915410326,0.761196783,0.000676730,6.182824456,-0.005909638,-0.000004060,-0.019827660
5,iter_05_train_base,2.416879018,0.493047710,0.000000000,0.000000000,1.923831308,128.838966431,964.781873832,7999985.359474000,1.705366977,10.795557345,13.363557373,14.358783679,14.874684275,2.400383461,0.493689539,127.691275843,0.691632486,0.004027911,6.279569156,-0.005384107,-0.000024164,-0.020075625
6,final,2.290754121,0.385970056,0.000000000,0.000000000,1.904784065,127.563372715,959.397766872,7999961.195900855,1.685291352,10.867341220,13.438700409,14.443484752,14.967806634,2.276373032,0.388615288,126.423120168,,,,,,
