iter,phase,split,delay_ns,status,loss,timing_loss,count_penalty,order_penalty,energy_penalty,energy_pj,spike0_first_ns,spike1_first_ns,spike2_first_ns,spike3_first_ns,spike0_target_ns,spike1_target_ns,spike2_target_ns,spike3_target_ns,spike0_count,spike1_count,spike2_count,spike3_count,eval_dir
0,iter_00_train_base,train,5.000000000,OK,1481.884734807,0.068467401,0.000000000,1481.786147683,0.030119723,134.806547808,9.676048867,12.257209350,13.215085018,13.726522514,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185702_order_stress/iter_00_train_base/trace_00_5.000ns
0,iter_00_train_base,train,8.000000000,OK,1481.160698996,0.067702545,0.000000000,1481.063116174,0.029880277,133.734865781,12.673473367,15.255290674,16.214586022,16.726692595,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185702_order_stress/iter_00_train_base/trace_01_8.000ns
0,iter_00_holdout_base,holdout,6.500000000,OK,1479.379928208,0.066739910,0.000000000,1479.283174886,0.030013412,134.330735751,11.166304922,13.754174793,14.716145571,15.228252768,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185702_order_stress/iter_00_holdout_base/trace_00_6.500ns
0,iter_00_holdout_base,holdout,9.500000000,OK,1482.065214407,0.067256052,0.000000000,1481.968242113,0.029716242,133.000694219,14.173501905,16.755263072,17.711854722,18.223545504,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185702_order_stress/iter_00_holdout_base/trace_01_9.500ns
1,final,train,5.000000000,OK,1460.589839362,0.027247157,0.000000000,1460.532454165,0.030138040,134.888531477,9.565336703,12.129295101,13.131580433,13.680347184,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185702_order_stress/final_train/trace_00_5.000ns
1,final,train,8.000000000,OK,1460.999914121,0.027416048,0.000000000,1460.942598844,0.029899228,133.819680985,12.570239444,15.126771988,16.131725915,16.680850633,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185702_order_stress/final_train/trace_01_8.000ns
1,final,holdout,6.500000000,OK,1459.935288218,0.028422658,0.000000000,1459.876836413,0.030029148,134.401162956,11.073962361,13.628776415,14.635585503,15.187410733,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185702_order_stress/final_holdout/trace_00_6.500ns
1,final,holdout,9.500000000,OK,1460.821408329,0.027781422,0.000000000,1460.763891229,0.029735678,133.087684069,14.073374686,16.626120425,17.633161058,18.183067435,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_185702_order_stress/final_holdout/trace_01_9.500ns
