time_ns,mem,spike,out
0.000,0.000000,0.000000,1.800000
0.500,0.000000,0.000000,1.800000
1.000,0.000000,0.000000,1.800000
1.500,0.000000,0.000000,1.800000
2.000,0.000000,0.000000,1.800000
2.500,0.000000,0.000000,1.800000
3.000,0.000000,0.000000,1.800000
3.500,0.000000,0.000000,1.800000
4.000,0.000000,0.000000,1.800000
4.500,0.000000,0.000000,1.800000
5.000,0.000000,0.000000,1.800000
5.500,0.249930,0.000288,1.800001
6.000,0.499839,0.005233,1.799993
6.500,0.749677,0.087105,1.796379
7.000,0.977539,1.762715,0.000294
7.500,1.008112,1.773578,0.000123
8.000,0.970394,1.761910,0.000268
8.500,0.934269,1.742538,0.000693
9.000,0.898952,1.718776,0.001287
9.500,0.865562,1.674779,0.003258
10.000,0.834357,1.593669,0.008998
10.500,0.807895,1.264870,0.078215
11.000,0.802344,0.271739,1.763290
11.500,0.801246,0.257348,1.767317
12.000,0.800247,0.246113,1.770567
12.500,0.799344,0.237147,1.772706
13.000,0.798471,0.228827,1.774684
13.500,0.797684,0.222418,1.776239
14.000,0.796897,0.216010,1.777795
14.500,0.796171,0.210624,1.778985
15.000,0.795501,0.206147,1.779850
15.500,0.794831,0.201670,1.780715
16.000,0.794160,0.197193,1.781580
16.500,0.793509,0.192976,1.782399
17.000,0.792942,0.189899,1.783014
17.500,0.792375,0.186823,1.783630
18.000,0.791808,0.183746,1.784245
18.500,0.791240,0.180669,1.784861
19.000,0.790680,0.177663,1.785453
19.500,0.790192,0.175408,1.785792
20.000,0.789703,0.173154,1.786132
20.500,0.789215,0.170899,1.786471
21.000,0.788727,0.168645,1.786811
21.500,0.788238,0.166390,1.787150
22.000,0.787753,0.164160,1.787488
22.500,0.787323,0.162488,1.787781
23.000,0.786894,0.160815,1.788074
23.500,0.786465,0.159143,1.788368
24.000,0.786036,0.157470,1.788661
24.500,0.785606,0.155798,1.788954
25.000,0.785177,0.154125,1.789248
25.500,0.987691,1.765669,0.000297
26.000,1.196957,1.794343,0.000014
26.500,1.402130,1.799207,0.000008
27.000,1.604885,1.799983,0.000008
27.500,1.606738,1.799970,-0.000000
28.000,1.558815,1.799926,-0.000000
28.500,1.511322,1.799829,-0.000000
29.000,1.464208,1.799677,-0.000000
29.500,1.417679,1.799361,-0.000000
30.000,1.372458,1.798675,0.000000
30.500,1.327236,1.797989,0.000000
31.000,1.282015,1.797304,0.000001
31.500,1.236987,1.796451,0.000002
32.000,1.195995,1.792114,0.000027
32.500,1.155002,1.787777,0.000052
33.000,1.114009,1.783439,0.000077
33.500,1.073017,1.779102,0.000102
34.000,1.032024,1.774765,0.000127
34.500,0.991733,1.768798,0.000180
35.000,0.954320,1.756150,0.000347
35.500,0.919598,1.727785,0.001216
36.000,0.884884,1.699376,0.002088
36.500,0.851779,1.651222,0.004419
37.000,0.822174,1.526075,0.016293
37.500,0.803119,0.357295,1.729445
38.000,0.801898,0.265627,1.765262
38.500,0.800849,0.252828,1.768704
39.000,0.799889,0.242483,1.771363
39.500,0.798995,0.233760,1.773465
40.000,0.798158,0.226285,1.775432
40.500,0.797355,0.219479,1.777101
41.000,0.796624,0.214050,1.778156
41.500,0.795893,0.208621,1.779212
42.000,0.795190,0.203621,1.780230
42.500,0.794550,0.199569,1.781166
43.000,0.793909,0.195516,1.782102
43.500,0.793279,0.191601,1.782964
44.000,0.792705,0.188431,1.783426
44.500,0.792130,0.185260,1.783887
45.000,0.791556,0.182089,1.784349
45.500,0.993082,1.767982,0.000274
46.000,1.202249,1.794808,-0.000001
46.500,1.407268,1.799193,-0.000002
47.000,1.610001,1.799983,-0.000003
47.500,1.630448,1.799979,-0.000000
48.000,1.582360,1.799951,-0.000000
48.500,1.534676,1.799880,-0.000000
49.000,1.487215,1.799784,-0.000000
49.500,1.440827,1.799458,-0.000000
50.000,1.394785,1.799059,-0.000000
50.500,1.348743,1.798660,-0.000000
51.000,1.303229,1.797937,0.000001
51.500,1.260899,1.795261,0.000010
52.000,1.218569,1.792585,0.000020
52.500,1.176239,1.789908,0.000029
53.000,1.133909,1.787232,0.000038
53.500,1.091579,1.784556,0.000047
54.000,1.049381,1.781674,0.000059
54.500,1.010439,1.773730,0.000123
55.000,0.973355,1.758938,0.000386
55.500,0.936901,1.741824,0.000715
56.000,0.900839,1.721949,0.001174
56.500,0.867880,1.672084,0.003746
57.000,0.836412,1.600535,0.008306
57.500,0.809336,1.318556,0.060532
58.000,0.802423,0.272820,1.763043
58.500,0.801321,0.258385,1.767075
59.000,0.800318,0.246877,1.770323
59.500,0.799407,0.237764,1.772569
60.000,0.798522,0.229285,1.774572
60.500,0.797751,0.223152,1.776016
61.000,0.796981,0.217019,1.777460
61.500,0.796210,0.210887,1.778904
62.000,0.795505,0.205819,1.779985
62.500,0.794848,0.201529,1.780801
63.000,0.794191,0.197239,1.781616
63.500,0.793555,0.193241,1.782390
64.000,0.792971,0.189959,1.783062
64.500,0.792387,0.186677,1.783735
65.000,0.791803,0.183395,1.784407
65.500,0.993253,1.767350,0.000271
66.000,1.202380,1.794605,0.000017
66.500,1.407504,1.799316,0.000035
67.000,1.610195,1.800011,0.000021
67.500,1.612002,1.799972,-0.000000
68.000,1.564034,1.799933,-0.000000
68.500,1.516518,1.799840,-0.000000
69.000,1.469259,1.799713,-0.000000
69.500,1.422982,1.799339,-0.000000
70.000,1.377409,1.798789,-0.000000
70.500,1.331836,1.798239,0.000000
71.000,1.286262,1.797689,0.000000
71.500,1.243077,1.795354,0.000010
72.000,1.201503,1.791815,0.000026
72.500,1.159928,1.788277,0.000043
73.000,1.118353,1.784738,0.000060
73.500,1.076779,1.781199,0.000076
74.000,1.035204,1.777661,0.000093
74.500,0.995917,1.769677,0.000171
75.000,0.958910,1.754217,0.000471
75.500,0.923415,1.731558,0.001037
76.000,0.887919,1.708899,0.001604
76.500,0.855583,1.648143,0.005343
77.000,0.825379,1.546860,0.013723
77.500,0.803411,0.548786,1.588616
78.000,0.801995,0.266939,1.764670
78.500,0.800931,0.253666,1.768398
79.000,0.799971,0.243403,1.771149
79.500,0.799078,0.234674,1.773368
80.000,0.798249,0.227338,1.775087
80.500,0.797420,0.220002,1.776806
81.000,0.796671,0.214195,1.778109
81.500,0.795963,0.209210,1.779189
82.000,0.795256,0.204225,1.780268
82.500,0.794582,0.199674,1.781213
83.000,0.793956,0.195783,1.781957
83.500,0.793331,0.191891,1.782700
84.000,0.792743,0.188561,1.783338
84.500,0.792172,0.185473,1.783932
85.000,0.791600,0.182385,1.784525
85.500,0.993085,1.767291,0.000271
86.000,1.202216,1.794601,0.000019
86.500,1.407346,1.799323,0.000041
87.000,1.610036,1.800012,0.000023
87.500,1.611843,1.799972,-0.000000
88.000,1.563875,1.799933,-0.000000
88.500,1.516361,1.799839,-0.000000
89.000,1.469094,1.799714,-0.000000
89.500,1.422845,1.799334,-0.000000
90.000,1.377247,1.798793,-0.000000
90.500,1.331649,1.798252,0.000000
91.000,1.286052,1.797710,0.000000
91.500,1.243041,1.795256,0.000010
92.000,1.201424,1.791772,0.000026
92.500,1.159806,1.788288,0.000042
93.000,1.118188,1.784804,0.000058
93.500,1.076570,1.781320,0.000074
94.000,1.034952,1.777836,0.000090
94.500,0.995781,1.769658,0.000170
95.000,0.958836,1.753909,0.000481
95.500,0.923282,1.731635,0.001029
96.000,0.887728,1.709360,0.001577
96.500,0.855511,1.647154,0.005437
97.000,0.825256,1.546836,0.013720
97.500,0.803393,0.538025,1.600213
98.000,0.801990,0.266914,1.764750
98.500,0.800932,0.253812,1.768366
99.000,0.799965,0.243266,1.771214
99.500,0.799059,0.234274,1.773313
100.000,0.798229,0.226951,1.775228
100.500,0.797406,0.219758,1.777086
101.000,0.796682,0.214457,1.778108
101.500,0.795959,0.209155,1.779131
102.000,0.795235,0.203854,1.780154
102.500,0.794597,0.199825,1.781083
103.000,0.793961,0.195835,1.782009
103.500,0.793325,0.191844,1.782936
104.000,0.792750,0.188664,1.783398
104.500,0.792175,0.185495,1.783853
105.000,0.791601,0.182327,1.784308
105.500,0.993086,1.767291,0.000271
106.000,1.202216,1.794600,0.000019
106.500,1.407346,1.799323,0.000041
