event_index,spike_time_ns,event_energy_j,event_energy_pj
1,6.657118,2.891122425e-12,2.891122
2,25.146751,3.147942894e-12,3.147943
3,45.142992,3.259988922e-12,3.259989
4,65.142827,3.257241450e-12,3.257241
5,85.142979,3.267180855e-12,3.267181
6,105.142978,3.267102756e-12,3.267103
7,125.142978,3.267105313e-12,3.267105
8,145.142978,3.267105330e-12,3.267105
9,165.142978,3.267105330e-12,3.267105
10,185.142978,3.788961158e-12,3.788961

bootstrap_mean_energy_per_spike_j,bootstrap_mean_energy_per_spike_pj
3.028894997e-12,3.028895
3.101836503e-12,3.101837
3.103379936e-12,3.103380
3.104084284e-12,3.104084
3.112329722e-12,3.112330
3.115013622e-12,3.115014
3.115884863e-12,3.115885
3.116000266e-12,3.116000
3.116015373e-12,3.116015
3.116015629e-12,3.116016
3.116711907e-12,3.116712
3.116719205e-12,3.116719
3.117575336e-12,3.117575
3.118561469e-12,3.118561
3.119398321e-12,3.119398
3.128068044e-12,3.128068
3.128787495e-12,3.128787
3.129765814e-12,3.129766
3.129766325e-12,3.129766
3.129766329e-12,3.129766
3.129773881e-12,3.129774
3.130477966e-12,3.130478
3.130477968e-12,3.130478
3.139434534e-12,3.139435
3.139709539e-12,3.139710
3.139984284e-12,3.139984
3.140274397e-12,3.140274
3.140421180e-12,3.140421
3.140421181e-12,3.140421
3.140421437e-12,3.140421
3.140695671e-12,3.140696
3.140695929e-12,3.140696
3.140696183e-12,3.140696
3.140986038e-12,3.140986
3.141414864e-12,3.141415
3.141682571e-12,3.141683
3.141689867e-12,3.141690
3.141697420e-12,3.141697
3.141834105e-12,3.141834
3.142545488e-12,3.142545
3.144086426e-12,3.144086
3.144353619e-12,3.144354
3.150379754e-12,3.150380
3.151351291e-12,3.151351
3.151633335e-12,3.151633
3.151640889e-12,3.151641
3.151648699e-12,3.151649
3.151930999e-12,3.151931
3.152337166e-12,3.152337
3.152344976e-12,3.152345
3.152344977e-12,3.152345
3.152634572e-12,3.152635
3.153323296e-12,3.153323
3.153323554e-12,3.153324
3.153323813e-12,3.153324
3.153331362e-12,3.153331
3.153475601e-12,3.153476
3.153606111e-12,3.153606
3.153613921e-12,3.153614
3.154025096e-12,3.154025
3.154194537e-12,3.154195
3.154317493e-12,3.154317
3.154317494e-12,3.154317
3.154461732e-12,3.154462
3.154469542e-12,3.154470
3.155008729e-12,3.155009
3.155463225e-12,3.155463
3.155463483e-12,3.155463
3.156988545e-12,3.156989
3.165117096e-12,3.165117
3.165229697e-12,3.165230
3.165399394e-12,3.165399
3.165673886e-12,3.165674
3.165674145e-12,3.165674
3.165674145e-12,3.165674
3.166103225e-12,3.166103
3.166103484e-12,3.166103
3.166103484e-12,3.166103
3.166377974e-12,3.166378
3.166377974e-12,3.166378
3.166377976e-12,3.166378
3.166377976e-12,3.166378
3.166385784e-12,3.166386
3.166393338e-12,3.166393
3.166488081e-12,3.166488
3.166652206e-12,3.166652
3.166652977e-12,3.166653
3.166660274e-12,3.166660
3.166660531e-12,3.166661
3.166668084e-12,3.166668
3.167364104e-12,3.167364
3.167371913e-12,3.167372
3.167394829e-12,3.167395
3.168075742e-12,3.168076
3.168083553e-12,3.168084
3.168083555e-12,3.168084
3.168083811e-12,3.168084
3.168185593e-12,3.168186
3.168186106e-12,3.168186
3.168193403e-12,3.168193
3.170042965e-12,3.170043
3.175617611e-12,3.175618
3.176603743e-12,3.176604
3.176611553e-12,3.176612
3.177040379e-12,3.177040
3.177040636e-12,3.177041
3.177145685e-12,3.177146
3.177153237e-12,3.177153
3.177307572e-12,3.177308
3.177307829e-12,3.177308
3.177307831e-12,3.177308
3.177315124e-12,3.177315
3.177315382e-12,3.177315
3.177315382e-12,3.177315
3.177315384e-12,3.177315
3.177315639e-12,3.177316
3.177315641e-12,3.177316
3.177323194e-12,3.177323
3.177582321e-12,3.177582
3.177857322e-12,3.177857
3.177857322e-12,3.177857
3.177864621e-12,3.177865
3.178019213e-12,3.178019
3.178026765e-12,3.178027
3.178027023e-12,3.178027
3.178027023e-12,3.178027
3.178034577e-12,3.178035
3.178042385e-12,3.178042
3.178293701e-12,3.178294
3.178294217e-12,3.178294
3.178301770e-12,3.178302
3.178302027e-12,3.178302
3.178302027e-12,3.178302
3.178309580e-12,3.178310
3.178568963e-12,3.178569
3.178568965e-12,3.178569
3.178568966e-12,3.178569
3.178584329e-12,3.178584
3.178599432e-12,3.178599
3.179005855e-12,3.179006
3.179006111e-12,3.179006
3.179013407e-12,3.179013
3.179013409e-12,3.179013
3.179013412e-12,3.179013
3.179020707e-12,3.179021
3.179028003e-12,3.179028
3.179157645e-12,3.179158
3.179279833e-12,3.179280
3.179279833e-12,3.179280
3.179280860e-12,3.179281
3.179287897e-12,3.179288
3.179288156e-12,3.179288
3.179288412e-12,3.179288
3.179288414e-12,3.179288
3.179288414e-12,3.179288
3.179295455e-12,3.179295
3.179295710e-12,3.179296
3.179303265e-12,3.179303
3.179439948e-12,3.179440
3.179876842e-12,3.179877
3.179991989e-12,3.179992
3.179992245e-12,3.179992
3.179999540e-12,3.180000
3.179999799e-12,3.180000
3.180007350e-12,3.180007
3.180418782e-12,3.180419
3.180965010e-12,3.180965
3.180973078e-12,3.180973
3.181145270e-12,3.181145
3.181849360e-12,3.181849
3.182663549e-12,3.182664
3.182670849e-12,3.182671
3.182670849e-12,3.182671
3.182671107e-12,3.182671
3.182678659e-12,3.182679
3.185334603e-12,3.185335
3.187251554e-12,3.187252
3.187970235e-12,3.187970
3.188237428e-12,3.188237
3.188244982e-12,3.188245
3.188519985e-12,3.188520
3.188519985e-12,3.188520
3.188520242e-12,3.188520
3.188794989e-12,3.188795
3.188810096e-12,3.188810
3.189224073e-12,3.189224
3.189224327e-12,3.189224
3.189231368e-12,3.189231
3.189231622e-12,3.189232
3.189498819e-12,3.189499
3.189513668e-12,3.189514
3.189513925e-12,3.189514
3.189773310e-12,3.189773
3.189935970e-12,3.189936
3.189943007e-12,3.189943
3.189943011e-12,3.189943
3.189943266e-12,3.189943
3.189943522e-12,3.189944
3.190210458e-12,3.190210
3.190210461e-12,3.190210
3.190217499e-12,3.190217
3.190218013e-12,3.190218
3.190218014e-12,3.190218
3.190218268e-12,3.190218
3.190225051e-12,3.190225
3.190225564e-12,3.190226
3.190225568e-12,3.190226
3.190225825e-12,3.190226
3.190233118e-12,3.190233
3.190240927e-12,3.190241
3.190492246e-12,3.190492
3.190492761e-12,3.190493
3.190500056e-12,3.190500
3.190921841e-12,3.190922
