vec_id,status,energy_pj,l_inf_error,in0,in1,in2,in3,out0,raw0,out1,raw1,out2,raw2,out3,raw3,target0,target1,target2,target3
22,ACCURACY_FAIL,8.982009,0.531216902,-0.838837398,-0.101625198,0.098879818,0.766767653,0.000000134,1.799999866,0.000000137,1.799999863,0.000000989,1.799999011,0.999999720,0.800000280,0.094116609,0.196713181,0.240387391,0.468782818
23,ACCURACY_FAIL,8.982399,0.329587651,0.638559676,0.727968939,-0.443157871,-0.169406966,0.290535607,1.509464393,0.709508588,1.090491412,0.000000134,1.799999866,0.000000135,1.799999865,0.347426769,0.379920937,0.117782106,0.154870187
24,ACCURACY_FAIL,8.982240,0.398941299,-0.282457669,0.768385654,0.915462408,-0.698158188,0.000000133,1.799999867,0.178112215,1.621887785,0.821914808,0.978085192,0.000000133,1.799999867,0.127662425,0.365122458,0.422973509,0.084241608
25,ACCURACY_FAIL,0.190038,0.342909127,-0.647564543,-0.536086266,-0.533327833,-0.030074539,0.000000140,1.799999860,0.000000170,1.799999830,0.000000173,1.799999827,0.021157190,1.778842810,0.196339644,0.219493872,0.220100167,0.364066317
26,ACCURACY_FAIL,4.062502,0.279300466,0.178247007,-0.474506761,-0.991812793,-0.162106998,0.451741318,1.348258682,0.000000243,1.799999757,0.000000138,1.799999862,0.000551983,1.799448017,0.393317235,0.204764949,0.122065367,0.279852449
27,ACCURACY_FAIL,8.982010,0.576920445,-0.261492854,0.132682447,0.906195851,0.380987314,0.000000133,1.799999867,0.000000173,1.799999827,0.999949055,0.800050945,0.000051882,1.799948118,0.131597906,0.195180820,0.423028610,0.250192664
28,ACCURACY_FAIL,8.865358,0.417973808,0.030982866,0.235185499,0.352400165,-0.892014214,0.003906249,1.796093751,0.220617817,1.579382183,0.762489616,1.037510384,0.000000137,1.799999863,0.249815508,0.306410379,0.344515808,0.099258305
29,ACCURACY_FAIL,8.982406,0.312944102,0.799066020,0.559938981,0.749026368,0.595746242,0.594275738,1.205724262,0.014083145,1.785916855,0.361087129,1.438912871,0.030599307,1.769400693,0.281331636,0.221496576,0.267600319,0.229571469
30,ACCURACY_FAIL,7.039504,0.397035311,-0.215242186,-0.202042335,-0.792925813,0.268579131,0.000060358,1.799939642,0.000086484,1.799913516,0.000000138,1.799999862,0.783587603,1.016412397,0.238279854,0.241445962,0.133721892,0.386552292
31,ACCURACY_FAIL,0.000005,0.293176519,-0.875504357,-0.865304768,-0.582473629,-0.675393624,0.000000139,1.799999861,0.000000139,1.799999861,0.000000147,1.799999853,0.000000139,1.799999861,0.218709563,0.220951726,0.293176666,0.267162045
32,ACCURACY_FAIL,0.000119,0.362957102,-0.319892696,-0.894848792,-0.999533436,-0.697470135,0.000012886,1.799987114,0.000000139,1.799999861,0.000000139,1.799999861,0.000000139,1.799999861,0.362969988,0.204253947,0.183952838,0.248823227
33,ACCURACY_FAIL,8.982008,0.430634764,-0.797071264,-0.272780156,-0.948998227,0.748664755,0.000000135,1.799999865,0.000000135,1.799999865,0.000000135,1.799999865,1.000000548,0.799999452,0.121363122,0.205013980,0.104257114,0.569365784
34,ACCURACY_FAIL,5.759883,0.237902130,0.228137976,-0.702899029,-0.495484487,-0.305220908,0.641261274,1.158738726,0.000000138,1.799999862,0.000000178,1.799999822,0.000007999,1.799992001,0.405553125,0.159846642,0.196690104,0.237910129
35,ACCURACY_FAIL,8.982081,0.524433754,-0.271673121,-0.754315538,0.697873853,0.986205443,0.000000133,1.799999867,0.000000133,1.799999867,0.022922164,1.777077836,0.977086622,0.822913378,0.128669483,0.079408432,0.339269218,0.452652868
