time_ns,mem,spike,out
0.000,0.000000,0.000000,1.800000
0.500,0.000000,0.000000,1.800000
1.000,0.000000,0.000000,1.800000
1.500,0.000000,0.000000,1.800000
2.000,0.000000,0.000000,1.800000
2.500,0.000000,0.000000,1.800000
3.000,0.000000,0.000000,1.800000
3.500,0.000000,0.000000,1.800000
4.000,0.000000,0.000000,1.800000
4.500,0.000000,0.000000,1.800000
5.000,0.000000,0.000000,1.800000
5.500,0.199946,0.000121,1.800000
6.000,0.399879,0.001874,1.800003
6.500,0.599789,0.016910,1.799893
7.000,0.799586,0.182366,1.786149
7.500,0.834506,1.595181,0.008738
8.000,0.807979,1.275849,0.072926
8.500,0.802356,0.271896,1.763239
9.000,0.801268,0.257634,1.767307
9.500,0.800280,0.246521,1.770374
10.000,0.799393,0.237792,1.772555
10.500,0.798524,0.229497,1.774575
11.000,0.797716,0.222447,1.776246
11.500,0.796971,0.216707,1.777549
12.000,0.796226,0.210966,1.778852
12.500,0.795540,0.206122,1.779885
13.000,0.794904,0.202069,1.780679
13.500,0.794268,0.198017,1.781473
14.000,0.793632,0.193964,1.782267
14.500,0.793003,0.189994,1.783043
15.000,0.792464,0.187160,1.783576
15.500,0.791926,0.184326,1.784109
16.000,0.791387,0.181492,1.784642
16.500,0.790848,0.178659,1.785175
17.000,0.790309,0.175825,1.785708
17.500,0.789817,0.173473,1.786114
18.000,0.789360,0.171499,1.786419
18.500,0.788904,0.169524,1.786725
19.000,0.788447,0.167550,1.787030
19.500,0.787991,0.165575,1.787336
20.000,0.787535,0.163601,1.787642
20.500,0.787078,0.161626,1.787947
21.000,0.786622,0.159651,1.788253
21.500,0.786201,0.157978,1.788514
22.000,0.785809,0.156539,1.788739
22.500,0.785417,0.155101,1.788965
23.000,0.785025,0.153663,1.789190
23.500,0.784633,0.152224,1.789416
24.000,0.784241,0.150786,1.789641
24.500,0.783849,0.149347,1.789867
25.000,0.783457,0.147909,1.790092
25.500,0.942949,1.747857,0.000608
26.000,1.104079,1.787797,0.000059
26.500,1.261279,1.796824,0.000004
27.000,1.415940,1.799345,-0.000011
27.500,1.409526,1.799440,-0.000000
28.000,1.363564,1.799018,-0.000000
28.500,1.318140,1.798410,-0.000000
29.000,1.273864,1.797297,0.000001
29.500,1.229587,1.796184,0.000001
30.000,1.187513,1.792966,0.000017
30.500,1.146528,1.788708,0.000039
31.000,1.105542,1.784450,0.000061
31.500,1.064557,1.780192,0.000084
32.000,1.023571,1.775935,0.000106
32.500,0.984921,1.766695,0.000203
33.000,0.948490,1.748824,0.000578
33.500,0.912867,1.727140,0.001090
34.000,0.878188,1.697230,0.002056
34.500,0.846704,1.623685,0.006937
35.000,0.817461,1.473099,0.024637
35.500,0.802825,0.285137,1.758903
36.000,0.801686,0.262876,1.765985
36.500,0.800669,0.250837,1.769131
37.000,0.799721,0.240619,1.771981
37.500,0.798861,0.232586,1.773824
38.000,0.798023,0.224998,1.775569
38.500,0.797284,0.219329,1.776892
39.000,0.796545,0.213661,1.778215
39.500,0.795806,0.207993,1.779537
40.000,0.795132,0.203307,1.780528
40.500,0.794509,0.199413,1.781251
41.000,0.793886,0.195519,1.781975
41.500,0.793264,0.191625,1.782698
42.000,0.792661,0.188006,1.783384
42.500,0.792112,0.185125,1.783971
43.000,0.791563,0.182244,1.784557
43.500,0.791021,0.179416,1.785114
44.000,0.790518,0.176920,1.785485
44.500,0.790015,0.174425,1.785856
45.000,0.789512,0.171930,1.786227
45.500,0.947870,1.750656,0.000536
46.000,1.108859,1.788359,0.000057
46.500,1.265951,1.796948,0.000005
47.000,1.420546,1.799374,-0.000011
47.500,1.414084,1.799469,-0.000000
48.000,1.368062,1.799065,-0.000000
48.500,1.322550,1.798493,-0.000000
49.000,1.278239,1.797398,0.000001
49.500,1.233927,1.796304,0.000001
50.000,1.191625,1.793293,0.000015
50.500,1.150646,1.789022,0.000038
51.000,1.109666,1.784751,0.000060
51.500,1.068686,1.780480,0.000083
52.000,1.027706,1.776209,0.000106
52.500,0.988682,1.767738,0.000192
53.000,0.951991,1.751077,0.000525
53.500,0.916425,1.729022,0.001053
54.000,0.881497,1.701279,0.001906
54.500,0.849777,1.631544,0.006419
55.000,0.819985,1.507745,0.018676
55.500,0.802951,0.306522,1.751031
56.000,0.801789,0.264209,1.765583
56.500,0.800763,0.251909,1.768885
57.000,0.799817,0.241752,1.771623
57.500,0.798930,0.233119,1.773665
58.000,0.798124,0.226129,1.775316
58.500,0.797361,0.220038,1.776753
59.000,0.796598,0.213946,1.778190
59.500,0.795852,0.208110,1.779542
60.000,0.795210,0.203949,1.780341
60.500,0.794568,0.199788,1.781139
61.000,0.793926,0.195628,1.781937
61.500,0.793295,0.191619,1.782709
62.000,0.792733,0.188571,1.783318
62.500,0.792171,0.185522,1.783927
63.000,0.791609,0.182473,1.784536
63.500,0.791079,0.179723,1.785023
64.000,0.790571,0.177200,1.785417
64.500,0.790064,0.174676,1.785811
65.000,0.789556,0.172152,1.786205
65.500,0.947906,1.750678,0.000537
66.000,1.108895,1.788364,0.000056
66.500,1.265986,1.796949,0.000005
67.000,1.420579,1.799375,-0.000010
67.500,1.414117,1.799470,-0.000000
68.000,1.368095,1.799066,-0.000000
68.500,1.322582,1.798494,-0.000000
69.000,1.278271,1.797399,0.000001
69.500,1.233960,1.796304,0.000001
70.000,1.191653,1.793297,0.000015
70.500,1.150676,1.789022,0.000038
71.000,1.109699,1.784748,0.000061
71.500,1.068721,1.780473,0.000083
72.000,1.027744,1.776198,0.000106
72.500,0.988711,1.767745,0.000192
73.000,0.952014,1.751106,0.000524
73.500,0.916453,1.729021,0.001054
74.000,0.881522,1.701312,0.001904
74.500,0.849800,1.631594,0.006418
75.000,0.820007,1.507896,0.018659
75.500,0.802952,0.306819,1.750916
76.000,0.801790,0.264220,1.765580
76.500,0.800763,0.251916,1.768883
77.000,0.799818,0.241763,1.771619
77.500,0.798930,0.233116,1.773665
78.000,0.798125,0.226143,1.775312
78.500,0.797361,0.220039,1.776754
79.000,0.796598,0.213934,1.778195
79.500,0.795853,0.208132,1.779536
80.000,0.795211,0.203961,1.780337
80.500,0.794568,0.199790,1.781137
81.000,0.793925,0.195619,1.781938
81.500,0.793296,0.191635,1.782706
82.000,0.792734,0.188581,1.783317
82.500,0.792172,0.185527,1.783927
83.000,0.791610,0.182473,1.784538
83.500,0.791079,0.179728,1.785022
84.000,0.790572,0.177203,1.785416
84.500,0.790064,0.174679,1.785810
85.000,0.789556,0.172154,1.786204
85.500,0.947907,1.750678,0.000537
86.000,1.108895,1.788364,0.000056
86.500,1.265986,1.796949,0.000005
87.000,1.420580,1.799375,-0.000010
87.500,1.414117,1.799470,-0.000000
88.000,1.368095,1.799066,-0.000000
88.500,1.322582,1.798494,-0.000000
89.000,1.278271,1.797399,0.000001
89.500,1.233960,1.796304,0.000001
90.000,1.191653,1.793297,0.000015
90.500,1.150676,1.789022,0.000038
91.000,1.109699,1.784748,0.000061
91.500,1.068722,1.780473,0.000083
92.000,1.027744,1.776198,0.000106
92.500,0.988711,1.767745,0.000192
93.000,0.952015,1.751106,0.000524
93.500,0.916453,1.729021,0.001054
94.000,0.881522,1.701313,0.001904
94.500,0.849800,1.631594,0.006418
95.000,0.820007,1.507897,0.018659
95.500,0.802952,0.306821,1.750915
96.000,0.801790,0.264220,1.765580
96.500,0.800763,0.251916,1.768883
97.000,0.799818,0.241763,1.771619
97.500,0.798930,0.233116,1.773665
98.000,0.798125,0.226143,1.775312
98.500,0.797361,0.220039,1.776754
99.000,0.796598,0.213934,1.778195
99.500,0.795853,0.208132,1.779536
100.000,0.795211,0.203961,1.780337
100.500,0.794568,0.199790,1.781137
101.000,0.793925,0.195619,1.781938
101.500,0.793296,0.191635,1.782706
102.000,0.792734,0.188581,1.783317
102.500,0.792172,0.185527,1.783927
103.000,0.791610,0.182473,1.784538
103.500,0.791079,0.179728,1.785022
104.000,0.790572,0.177203,1.785416
104.500,0.790064,0.174679,1.785810
105.000,0.789556,0.172154,1.786204
105.500,0.947907,1.750678,0.000537
106.000,1.108895,1.788364,0.000056
106.500,1.265986,1.796949,0.000005
