r_fb_ohm,mem2_max_v,spike2_max_v
600,1.243,0.815
700,1.237,0.824
800,1.230,0.833
900,1.223,0.842
1000,1.217,0.850
1100,1.210,0.859
1200,1.203,0.868
1300,1.197,0.876
1500,1.184,0.893
