r_fb_ohm,mem2_max_v,spike2_max_v
600,1.242,0.814
700,1.235,0.823
800,1.229,0.832
900,1.222,0.841
1000,1.215,0.850
1100,1.209,0.859
1200,1.202,0.867
1300,1.196,0.876
1500,1.183,0.893
