architecture,operations,latency_ns,energy_j,energy_pj,energy_per_op_pj,spike_count,spike_energy_est_pj,decoded_matrix,result_file
digital_baseline,12,0.141000,5.960843000e-14,0.059608,0.004967,,,[[1 1] [1 2]],/home/v71349/analog-gradients/results/matmul2x2_binary_digital_test.txt
neuro_path,12,2.233000,1.120208000e-11,11.202080,0.933506,5,16.350000,[[1 1] [1 2]],/home/v71349/analog-gradients/results/matmul2x2_binary_neuro_test.txt
