n,density,seed,a_ones,b_ones,total_products,active_products,y_mean,y_max,digital_total_ops,digital_adder_depth,digital_output_bitwidth,digital_energy_pj_est,digital_latency_ns_est,neuro_membrane_fanin,neuro_energy_pj_est_measured_cal,neuro_energy_pj_est_spike_model,neuro_latency_ns_floor_est
2,0.100,1,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.100,2,1,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.100,3,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.100,4,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.100,5,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.300,1,2,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.300,2,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.300,3,3,2,8,4,1.000000,1,12,1,2,0.059608,0.141000,2,8.961664,13.080000,2.233000
2,0.300,4,1,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.300,5,1,2,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.500,1,2,2,8,4,1.000000,1,12,1,2,0.059608,0.141000,2,8.961664,13.080000,2.233000
2,0.500,2,2,2,8,4,1.000000,1,12,1,2,0.059608,0.141000,2,8.961664,13.080000,2.233000
2,0.500,3,3,2,8,3,0.750000,2,12,1,2,0.059608,0.141000,2,6.721248,9.810000,2.233000
2,0.500,4,2,2,8,2,0.500000,1,12,1,2,0.059608,0.141000,2,4.480832,6.540000,2.233000
2,0.500,5,4,2,8,4,1.000000,1,12,1,2,0.059608,0.141000,2,8.961664,13.080000,2.233000
2,0.800,1,4,3,8,6,1.500000,2,12,1,2,0.059608,0.141000,2,13.442496,19.620000,2.233000
2,0.800,2,3,4,8,6,1.500000,2,12,1,2,0.059608,0.141000,2,13.442496,19.620000,2.233000
2,0.800,3,4,3,8,6,1.500000,2,12,1,2,0.059608,0.141000,2,13.442496,19.620000,2.233000
2,0.800,4,4,4,8,8,2.000000,2,12,1,2,0.059608,0.141000,2,17.923328,26.160000,2.233000
2,0.800,5,4,4,8,8,2.000000,2,12,1,2,0.059608,0.141000,2,17.923328,26.160000,2.233000
4,0.100,1,0,0,64,0,0.000000,0,112,2,3,0.556345,0.282000,4,0.000000,0.000000,2.233000
4,0.100,2,2,4,64,1,0.062500,1,112,2,3,0.556345,0.282000,4,2.240416,3.270000,2.233000
4,0.100,3,1,1,64,1,0.062500,1,112,2,3,0.556345,0.282000,4,2.240416,3.270000,2.233000
4,0.100,4,3,4,64,2,0.125000,1,112,2,3,0.556345,0.282000,4,4.480832,6.540000,2.233000
