vec_id,status,energy_pj,l_inf_error,in0,in1,in2,in3,out0,raw0,out1,raw1,out2,raw2,out3,raw3,target0,target1,target2,target3
22,ACCURACY_FAIL,8.982000,0.207190916,-0.838837398,-0.101625198,0.098879818,0.766767653,0.027247019,0.027247019,0.119029162,0.119029162,0.177750086,0.177750086,0.675973734,0.675973734,0.094116609,0.196713181,0.240387391,0.468782818
23,ACCURACY_FAIL,8.982000,0.096601487,0.638559676,0.727968939,-0.443157871,-0.169406966,0.398495520,0.398495520,0.476522424,0.476522424,0.045798950,0.045798950,0.079183106,0.079183106,0.347426769,0.379920937,0.117782106,0.154870187
24,ACCURACY_FAIL,8.982000,0.110096847,-0.282457669,0.768385654,0.915462408,-0.698158188,0.048560637,0.048560637,0.397223823,0.397223823,0.533070356,0.533070356,0.021145185,0.021145185,0.127662425,0.365122458,0.422973509,0.084241608
25,ACCURACY_FAIL,8.982000,0.131028067,-0.647564543,-0.536086266,-0.533327833,-0.030074539,0.143993536,0.143993536,0.179958265,0.179958265,0.180953815,0.180953815,0.495094384,0.495094384,0.196339644,0.219493872,0.220100167,0.364066317
26,ACCURACY_FAIL,8.982000,0.140411915,0.178247007,-0.474506761,-0.991812793,-0.162106998,0.533729150,0.533729150,0.144659248,0.144659248,0.051406720,0.051406720,0.270204881,0.270204881,0.393317235,0.204764949,0.122065367,0.279852449
27,ACCURACY_FAIL,8.982000,0.179582232,-0.261492854,0.132682447,0.906195851,0.380987314,0.058317033,0.058317033,0.128283776,0.128283776,0.602610842,0.602610842,0.210788349,0.210788349,0.131597906,0.195180820,0.423028610,0.250192664
28,ACCURACY_FAIL,8.982000,0.072180524,0.030982866,0.235185499,0.352400165,-0.892014214,0.219098881,0.219098881,0.329616021,0.329616021,0.416696332,0.416696332,0.034588767,0.034588767,0.249815508,0.306410379,0.344515808,0.099258305
29,ACCURACY_FAIL,8.982000,0.032097436,0.799066020,0.559938981,0.749026368,0.595746242,0.313429072,0.313429072,0.194283612,0.194283612,0.283579862,0.283579862,0.208707454,0.208707454,0.281331636,0.221496576,0.267600319,0.229571469
30,ACCURACY_FAIL,8.982000,0.142606687,-0.215242186,-0.202042335,-0.792925813,0.268579131,0.201068628,0.201068628,0.206447467,0.206447467,0.063324926,0.063324926,0.529158979,0.529158979,0.238279854,0.241445962,0.133721892,0.386552292
31,ACCURACY_FAIL,8.982000,0.045243672,-0.875504357,-0.865304768,-0.582473629,-0.675393624,0.188335938,0.188335938,0.192217290,0.192217290,0.338420338,0.338420338,0.281026434,0.281026434,0.218709563,0.220951726,0.293176666,0.267162045
32,ACCURACY_FAIL,8.982000,0.126399043,-0.319892696,-0.894848792,-0.999533436,-0.697470135,0.489369031,0.489369031,0.154965836,0.154965836,0.125692115,0.125692115,0.229973018,0.229973018,0.362969988,0.204253947,0.183952838,0.248823227
33,ACCURACY_FAIL,8.982000,0.258025405,-0.797071264,-0.272780156,-0.948998227,0.748664755,0.037592538,0.037592538,0.107274158,0.107274158,0.027742115,0.027742115,0.827391189,0.827391189,0.121363122,0.205013980,0.104257114,0.569365784
34,ACCURACY_FAIL,8.982000,0.170914187,0.228137976,-0.702899029,-0.495484487,-0.305220908,0.576467312,0.576467312,0.089554254,0.089554254,0.135595164,0.135595164,0.198383270,0.198383270,0.405553125,0.159846642,0.196690104,0.237910129
