run_id,density,seed,active_products,digital_pass,neuro_pass,digital_energy_pj,neuro_energy_pj,ratio_neuro_over_digital,digital_latency_ns,neuro_latency_ns,digital_energy_per_active_pj,neuro_energy_per_active_pj,point_dir,metadata_json,digital_result,neuro_result
20260204_133053,0.06,1,2,PASS,PASS,0.032311740,17.123380000,529.942986667,0.142000000,2.224000000,0.016155870,8.561690000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.06_s_1,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.06_s_1/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.06_s_1/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.06_s_1/matmul4x4_binary_neuro_test.txt
20260204_133053,0.06,2,0,PASS,PASS,0.000508944,13.305640000,26143.622874029,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.06_s_2,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.06_s_2/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.06_s_2/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.06_s_2/matmul4x4_binary_neuro_test.txt
20260204_133053,0.04,1,2,PASS,PASS,0.032311740,17.123380000,529.942986667,0.142000000,2.224000000,0.016155870,8.561690000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.04_s_1,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.04_s_1/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.04_s_1/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.04_s_1/matmul4x4_binary_neuro_test.txt
20260204_133053,0.04,2,0,PASS,PASS,0.000408138,9.979241000,24450.665927047,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.04_s_2,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.04_s_2/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.04_s_2/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133053/p_0.04_s_2/matmul4x4_binary_neuro_test.txt
