time_ns,current_a,power_w,spike_v
9.200000,-2.468440982e-05,4.443193767e-05,1.780806849
9.300000,-2.540733565e-05,4.573320417e-05,1.778726726
9.400000,-2.613026148e-05,4.703447067e-05,1.776646603
9.500000,-2.685318732e-05,4.833573717e-05,1.774566480
9.600000,-2.757611315e-05,4.963700368e-05,1.772486357
9.700000,-2.829903899e-05,5.093827018e-05,1.770406234
9.800000,-2.902196482e-05,5.223953668e-05,1.768326111
9.900000,-2.974489066e-05,5.354080318e-05,1.766245988
10.000000,-3.046781649e-05,5.484206968e-05,1.764165865
10.100000,-3.119074232e-05,5.614333618e-05,1.762085742
10.200000,-3.191366816e-05,5.744460268e-05,1.760005618
10.300000,-3.263659399e-05,5.874586919e-05,1.757925495
10.400000,-3.335951983e-05,6.004713569e-05,1.755845372
10.500000,-3.408244566e-05,6.134840219e-05,1.753765249
10.600000,-3.480537149e-05,6.264966869e-05,1.751685126
10.700000,-3.552829733e-05,6.395093519e-05,1.749605003
10.800000,-3.647424565e-05,6.565364217e-05,1.745334712
10.900000,-3.743857094e-05,6.738942770e-05,1.740883951
11.000000,-3.840289624e-05,6.912521323e-05,1.736433190
11.100000,-3.936722153e-05,7.086099876e-05,1.731982430
11.200000,-4.059667060e-05,7.307400708e-05,1.724362139
11.300000,-4.190762443e-05,7.543372398e-05,1.715767467
11.400000,-4.321857826e-05,7.779344088e-05,1.707172795
11.500000,-4.452953210e-05,8.015315777e-05,1.698578123
11.600000,-4.584048593e-05,8.251287467e-05,1.689983451
11.700000,-4.715143976e-05,8.487259157e-05,1.681388779
11.800000,-4.846239359e-05,8.723230846e-05,1.672794107
11.900000,-4.977334742e-05,8.959202536e-05,1.664199435
12.000000,-5.134273856e-05,9.241692941e-05,1.652233937
12.100000,-5.323205071e-05,9.581769128e-05,1.636095674
12.200000,-5.553537266e-05,9.996367079e-05,1.614119005
12.300000,-5.856453186e-05,1.054161573e-04,1.581906508
12.400000,-6.159369106e-05,1.108686439e-04,1.549694011
12.500000,-6.462285026e-05,1.163211305e-04,1.517481514
12.600000,-6.802927881e-05,1.224527019e-04,1.479636918
12.700000,-7.367909419e-05,1.326223695e-04,1.408568733
12.800000,-8.372991770e-05,1.507138519e-04,1.272061755
12.900000,-1.091829484e-04,1.965293071e-04,0.913593036
13.000000,-8.004512008e-05,1.440812161e-04,0.379166690
13.100000,-7.164942846e-05,1.289689712e-04,0.285205703
