time_ns,mem,spike,out
0.000,0.000000,0.000000,1.800000
0.500,0.000000,0.000000,1.800000
1.000,0.000000,0.000000,1.800000
1.500,0.000000,0.000000,1.800000
2.000,0.000000,0.000000,1.800000
2.500,0.000000,0.000000,1.800000
3.000,0.000000,0.000000,1.800000
3.500,0.000000,0.000000,1.800000
4.000,0.000000,0.000000,1.800000
4.500,0.000000,0.000000,1.800000
5.000,0.000000,0.000000,1.800000
5.500,0.299915,0.000595,1.800002
6.000,0.599798,0.015593,1.799930
6.500,0.893565,1.707671,0.002004
7.000,1.154848,1.792378,0.000028
7.500,1.195364,1.794995,0.000003
8.000,1.152873,1.792591,0.000008
8.500,1.111484,1.788948,0.000021
9.000,1.070491,1.784824,0.000038
9.500,1.032280,1.774566,0.000163
10.000,0.994135,1.764166,0.000290
10.500,0.955989,1.753765,0.000418
11.000,0.919384,1.736433,0.000765
11.500,0.885562,1.698578,0.002252
12.000,0.852492,1.652234,0.004373
12.500,0.823124,1.517482,0.018222
13.000,0.803117,0.379167,1.718188
13.500,0.801883,0.265478,1.765090
14.000,0.800832,0.252533,1.768597
14.500,0.799866,0.242208,1.771640
15.000,0.798979,0.233545,1.773546
15.500,0.798144,0.226067,1.775298
16.000,0.797360,0.219753,1.776901
16.500,0.796576,0.213439,1.778505
17.000,0.795896,0.208750,1.779386
17.500,0.795219,0.204107,1.780247
18.000,0.794542,0.199463,1.781108
18.500,0.793883,0.195090,1.781935
19.000,0.793303,0.191900,1.782611
19.500,0.792723,0.188711,1.783288
20.000,0.792143,0.185521,1.783965
20.500,0.791563,0.182331,1.784641
21.000,0.791009,0.179386,1.785198
21.500,0.790500,0.176892,1.785531
22.000,0.789991,0.174398,1.785864
22.500,0.789482,0.171904,1.786198
23.000,0.788981,0.169509,1.786544
23.500,0.788520,0.167578,1.786949
24.000,0.788058,0.165647,1.787355
24.500,0.787596,0.163716,1.787760
25.000,0.787135,0.161784,1.788166
25.500,1.033180,1.777373,0.000167
26.000,1.290897,1.797613,-0.000011
26.500,1.544544,1.799862,-0.000023
27.000,1.796179,1.800042,-0.000008
27.500,1.829971,1.799988,0.000000
28.000,1.781275,1.799989,0.000000
28.500,1.732656,1.799989,0.000000
29.000,1.684074,1.799989,0.000000
29.500,1.636063,1.799956,-0.000000
30.000,1.588076,1.799921,-0.000000
30.500,1.540090,1.799886,-0.000000
31.000,1.493487,1.799543,0.000000
31.500,1.448031,1.798944,0.000000
32.000,1.402576,1.798346,0.000001
32.500,1.357120,1.797747,0.000001
33.000,1.311664,1.797148,0.000001
33.500,1.266209,1.796549,0.000002
34.000,1.220753,1.795950,0.000002
34.500,1.177815,1.793900,0.000005
35.000,1.135850,1.790768,0.000017
35.500,1.095412,1.785729,0.000045
36.000,1.054975,1.780690,0.000074
36.500,1.014890,1.774872,0.000114
37.000,0.976849,1.764271,0.000236
37.500,0.940891,1.744517,0.000663
38.000,0.904934,1.724763,0.001090
38.500,0.871330,1.683248,0.002900
39.000,0.839669,1.615024,0.007007
39.500,0.811990,1.396705,0.038781
40.000,0.802542,0.274711,1.762367
40.500,0.801427,0.259732,1.766850
41.000,0.800417,0.247900,1.769901
41.500,0.799490,0.238524,1.772428
42.000,0.798631,0.230552,1.774395
42.500,0.797820,0.223574,1.775964
43.000,0.797010,0.216596,1.777534
43.500,0.796282,0.211287,1.778752
44.000,0.795566,0.206226,1.779918
44.500,0.794903,0.201740,1.780769
45.000,0.794244,0.197295,1.781599
45.500,1.039218,1.778585,0.000138
46.000,1.296802,1.797701,0.000003
46.500,1.550296,1.799858,0.000000
47.000,1.801995,1.800057,-0.000001
47.500,1.833157,1.799988,0.000000
48.000,1.784460,1.799989,0.000000
48.500,1.735835,1.799989,0.000000
49.000,1.687249,1.799989,0.000000
49.500,1.639212,1.799958,-0.000000
50.000,1.591217,1.799924,-0.000000
50.500,1.543222,1.799890,-0.000000
51.000,1.496447,1.799596,0.000000
51.500,1.450847,1.799051,0.000000
52.000,1.405247,1.798505,0.000000
52.500,1.359647,1.797960,0.000001
53.000,1.314047,1.797414,0.000001
53.500,1.268447,1.796869,0.000001
54.000,1.223385,1.796034,0.000002
54.500,1.180361,1.794101,0.000004
55.000,1.138707,1.790598,0.000019
55.500,1.097956,1.786059,0.000042
56.000,1.057205,1.781521,0.000065
56.500,1.017331,1.775212,0.000112
57.000,0.979413,1.763806,0.000267
57.500,0.943119,1.745913,0.000620
58.000,0.906854,1.727824,0.000982
58.500,0.873442,1.684887,0.002865
59.000,0.841472,1.622203,0.006421
59.500,0.813484,1.424007,0.033090
60.000,0.802616,0.276191,1.761935
60.500,0.801497,0.260570,1.766532
61.000,0.800489,0.248949,1.769673
61.500,0.799536,0.238751,1.772384
62.000,0.798687,0.231086,1.774199
62.500,0.797837,0.223420,1.776015
63.000,0.797076,0.217395,1.777396
63.500,0.796331,0.211679,1.778695
64.000,0.795618,0.206514,1.779812
64.500,0.794950,0.202109,1.780678
65.000,0.794283,0.197704,1.781544
65.500,1.039249,1.778573,0.000138
66.000,1.296831,1.797695,0.000004
66.500,1.550327,1.799859,0.000000
67.000,1.802057,1.800074,0.000003
67.500,1.813381,1.799988,0.000000
68.000,1.764698,1.799989,0.000000
68.500,1.716116,1.799988,0.000000
69.000,1.667686,1.799982,-0.000000
69.500,1.619390,1.799963,-0.000000
70.000,1.572063,1.799850,-0.000000
70.500,1.524736,1.799736,-0.000000
71.000,1.477409,1.799622,-0.000000
71.500,1.430082,1.799509,-0.000000
72.000,1.385057,1.798533,0.000001
72.500,1.341180,1.797128,0.000004
73.000,1.297304,1.795722,0.000006
73.500,1.253427,1.794316,0.000009
74.000,1.209551,1.792910,0.000011
74.500,1.165674,1.791504,0.000014
75.000,1.121798,1.790099,0.000016
75.500,1.080873,1.785758,0.000034
76.000,1.041340,1.778596,0.000100
76.500,1.003266,1.767985,0.000230
77.000,0.965193,1.757375,0.000361
77.500,0.928243,1.741866,0.000641
78.000,0.893964,1.707991,0.001904
78.500,0.860739,1.664358,0.003788
79.000,0.830278,1.556709,0.014052
79.500,0.805097,1.046395,0.199087
80.000,0.802171,0.269367,1.763972
80.500,0.801097,0.255758,1.767848
81.000,0.800125,0.245085,1.770687
81.500,0.799189,0.235333,1.773242
82.000,0.798366,0.228219,1.774893
82.500,0.797544,0.221106,1.776544
83.000,0.796780,0.215045,1.777921
83.500,0.796055,0.209685,1.779116
84.000,0.795352,0.204662,1.780200
84.500,0.794696,0.200426,1.781026
85.000,0.794040,0.196190,1.781851
85.500,1.039043,1.778490,0.000139
86.000,1.296628,1.797680,0.000004
86.500,1.550130,1.799860,0.000000
87.000,1.801859,1.800074,0.000003
87.500,1.813183,1.799988,0.000000
88.000,1.764500,1.799989,0.000000
88.500,1.715919,1.799988,0.000000
89.000,1.667485,1.799983,-0.000000
89.500,1.619217,1.799961,-0.000000
90.000,1.571871,1.799850,-0.000000
90.500,1.524524,1.799739,-0.000000
91.000,1.477178,1.799629,-0.000000
91.500,1.429832,1.799518,-0.000000
92.000,1.384984,1.798483,0.000002
92.500,1.341067,1.797104,0.000004
93.000,1.297149,1.795725,0.000006
93.500,1.253231,1.794346,0.000009
94.000,1.209314,1.792967,0.000011
94.500,1.165396,1.791588,0.000013
95.000,1.121478,1.790209,0.000015
95.500,1.080690,1.785759,0.000033
96.000,1.041240,1.778401,0.000103
96.500,1.003109,1.767974,0.000229
97.000,0.964978,1.757547,0.000355
97.500,0.928087,1.741804,0.000641
98.000,0.893848,1.707618,0.001919
98.500,0.860551,1.664868,0.003734
99.000,0.830164,1.555895,0.014107
99.500,0.805013,1.037723,0.202296
100.000,0.802161,0.269218,1.763996
100.500,0.801087,0.255610,1.767878
101.000,0.800109,0.244800,1.770788
101.500,0.799199,0.235656,1.773182
102.000,0.798350,0.227994,1.774906
102.500,0.797534,0.220944,1.776518
103.000,0.796790,0.215255,1.777877
103.500,0.796046,0.209566,1.779236
104.000,0.795356,0.204777,1.780211
104.500,0.794695,0.200462,1.780985
105.000,0.794035,0.196147,1.781758
105.500,1.039039,1.778488,0.000139
106.000,1.296624,1.797680,0.000004
106.500,1.550126,1.799861,0.000000
