time_ns,phase,mem_meas_v,mem_model_global_step_v,mem_model_piecewise_step_v,out_v,spike_v,dmem_dt_meas_v_per_s,dmem_dt_global_v_per_s,dmem_dt_piecewise_v_per_s
24.500,decay,0.785933000,0.802926468,0.785989097,1.788764000,0.157030000,-8.360000e+05,3.328507e+07,-6.981970e+05
25.000,charge,0.785515000,0.802575533,0.785583901,1.789055000,0.155378000,4.049580e+08,3.341722e+07,3.724155e+08
25.500,reset,0.987994000,0.802223609,0.971722759,0.000296000,1.765830000,4.185740e+08,-1.164613e+07,8.347310e+06
26.000,reset,1.197281000,0.982170936,0.992167655,0.000013000,1.794382000,4.103480e+08,-1.925807e+07,4.144749e+06
26.500,reset,1.402455000,1.187651967,1.199353375,0.000005000,1.799184000,4.055800e+08,-2.481362e+07,-2.080503e+07
27.000,reset,1.605245000,1.390048188,1.392052483,0.000006000,1.799978000,3.790000e+06,-2.997771e+07,-4.927284e+07
27.500,reset,1.607140000,1.590256143,1.580608582,-0.000000000,1.799970000,-9.577800e+07,-3.002438e+07,-4.959581e+07
28.000,reset,1.559251000,1.592127810,1.582342096,-0.000000000,1.799926000,-9.496800e+07,-2.881678e+07,-4.273096e+07
28.500,reset,1.511767000,1.544842612,1.537885522,-0.000000000,1.799832000,-9.405800e+07,-2.761521e+07,-3.597348e+07
29.000,reset,1.464738000,1.497959394,1.493780259,-0.000000000,1.799671000,-9.347400e+07,-2.641954e+07,-2.934725e+07
29.500,reset,1.418001000,1.451528231,1.450064376,-0.000000000,1.799423000,-9.005600e+07,-2.522400e+07,-2.284832e+07
30.000,reset,1.372973000,1.405389001,1.406576838,0.000000000,1.798669000,-9.005800e+07,-2.402951e+07,-1.709139e+07
30.500,reset,1.327944000,1.360958246,1.364427304,0.000001000,1.797914000,-9.005800e+07,-2.283496e+07,-1.132833e+07
31.000,reset,1.282915000,1.316526519,1.322279836,0.000001000,1.797160000,-9.005800e+07,-2.164045e+07,-5.571252e+06
31.500,reset,1.237886000,1.272094776,1.280129374,0.000001000,1.796405000,-8.380800e+07,-2.044585e+07,1.848465e+05
32.000,reset,1.195982000,1.227663075,1.237978423,0.000024000,1.792755000,-8.136000e+07,-1.909121e+07,2.815597e+06
32.500,reset,1.155302000,1.186436395,1.197389799,0.000054000,1.787971000,-8.136200e+07,-1.767377e+07,4.208138e+06
33.000,reset,1.114621000,1.146465114,1.157406069,0.000085000,1.783187000,-8.136000e+07,-1.625636e+07,5.607788e+06
33.500,reset,1.073941000,1.106492819,1.117424894,0.000116000,1.778403000,-8.136200e+07,-1.483898e+07,7.007293e+06
34.000,reset,1.033260000,1.066521512,1.077444646,0.000146000,1.773620000,-8.136000e+07,-1.342160e+07,8.400957e+06
34.500,reset,0.992580000,1.026549202,1.037460479,0.000177000,1.768836000,-7.480800e+07,-1.200421e+07,9.800462e+06
35.000,reset,0.955176000,0.986577894,0.997480231,0.000365000,1.755737000,-7.010400e+07,-9.988611e+06,3.678865e+06
35.500,reset,0.920124000,0.950181694,0.957015433,0.001208000,1.728763000,-6.857000e+07,-6.917013e+06,-1.180657e+07
36.000,reset,0.885839000,0.916665493,0.914220714,0.002296000,1.696808000,-6.661000e+07,-3.464893e+06,-3.057371e+07
36.500,reset,0.852534000,0.884106554,0.870552144,0.004454000,1.651430000,-5.951600e+07,1.018601e+06,-5.517397e+07
37.000,reset,0.822776000,0.853043301,0.824947017,0.015849000,1.529521000,-3.929400e+07,1.126993e+07,-9.089410e+07
37.500,decay,0.803129000,0.828410965,0.777328948,1.718965000,0.377424000,-2.438000e+06,1.824204e+07,-2.744985e+06
38.000,decay,0.801910000,0.812250020,0.801756508,1.765100000,0.265795000,-2.064000e+06,2.510981e+07,-1.984019e+06
38.500,decay,0.800878000,0.814464907,0.800917991,1.768511000,0.253216000,-1.902000e+06,2.599958e+07,-1.858934e+06
39.000,decay,0.799927000,0.813877792,0.799948533,1.771369000,0.242817000,-1.760000e+06,2.673562e+07,-1.754217e+06
39.500,decay,0.799047000,0.813294810,0.799049891,1.773396000,0.234263000,-1.636000e+06,2.736044e+07,-1.662135e+06
40.000,decay,0.798229000,0.812727222,0.798215932,1.775121000,0.226962000,-1.510000e+06,2.789569e+07,-1.582247e+06
40.500,decay,0.797474000,0.812176845,0.797437876,1.776538000,0.220943000,-1.510000e+06,2.833924e+07,-1.514840e+06
41.000,decay,0.796719000,0.811643622,0.796716580,1.777955000,0.214925000,-1.508000e+06,2.878272e+07,-1.447444e+06
41.500,decay,0.795965000,0.811110358,0.795995278,1.779371000,0.208907000,-1.288000e+06,2.922622e+07,-1.380055e+06
42.000,decay,0.795321000,0.810578108,0.795274973,1.780206000,0.204658000,-1.268000e+06,2.955076e+07,-1.328313e+06
42.500,decay,0.794687000,0.810096380,0.794656844,1.780994000,0.200553000,-1.270000e+06,2.986558e+07,-1.277867e+06
43.000,decay,0.794052000,0.809619790,0.794048066,1.781782000,0.196448000,-1.268000e+06,3.018043e+07,-1.227404e+06
43.500,decay,0.793418000,0.809142213,0.793438298,1.782570000,0.192343000,-1.136000e+06,3.049525e+07,-1.176958e+06
44.000,decay,0.792850000,0.808665623,0.792829521,1.783207000,0.189181000,-1.120000e+06,3.073818e+07,-1.137022e+06
44.500,decay,0.792290000,0.808219090,0.792281489,1.783828000,0.186124000,-1.120000e+06,3.097305e+07,-1.098279e+06
45.000,charge,0.791730000,0.807776525,0.791740861,1.784448000,0.183067000,4.029620e+08,3.120797e+07,3.975280e+08
45.500,reset,0.993211000,0.807333986,0.990493993,0.000271000,1.767334000,4.183000e+08,-1.190057e+07,8.893353e+06
46.000,reset,1.202361000,0.987260717,0.997657676,0.000017000,1.794604000,4.103040e+08,-1.940438e+07,3.657202e+06
46.500,reset,1.407513000,1.192658811,1.204189601,0.000037000,1.799318000,4.054440e+08,-2.495356e+07,-2.118057e+07
47.000,reset,1.610235000,1.395036221,1.396922713,0.000022000,1.800011000,3.680000e+06,-3.010674e+07,-4.984890e+07
47.500,reset,1.612075000,1.595181632,1.585310552,-0.000000000,1.799972000,-9.587200e+07,-3.014861e+07,-5.030572e+07
48.000,reset,1.564139000,1.597000693,1.586922141,-0.000000000,1.799933000,-9.497000e+07,-2.894024e+07,-4.342919e+07
48.500,reset,1.516654000,1.549668878,1.542424405,-0.000000000,1.799840000,-9.446200e+07,-2.773874e+07,-3.667059e+07
49.000,reset,1.469423000,1.502784631,1.498318703,-0.000000000,1.799714000,-9.248800e+07,-2.654088e+07,-2.998095e+07
49.500,reset,1.423179000,1.456152558,1.454432525,-0.000000000,1.799340000,-9.110800e+07,-2.534730e+07,-2.367652e+07
50.000,reset,1.377625000,1.410505350,1.411340741,-0.000000000,1.798793000,-9.110800e+07,-2.415673e+07,-1.764102e+07
50.500,reset,1.332071000,1.365546633,1.368804491,0.000000000,1.798247000,-9.110800e+07,-2.296625e+07,-1.160454e+07
51.000,reset,1.286517000,1.320587875,1.326268731,0.000000000,1.797700000,-8.625600e+07,-2.177568e+07,-5.569039e+06
51.500,reset,1.243389000,1.275629159,1.283732481,0.000010000,1.795347000,-8.313200e+07,-2.049703e+07,-1.582257e+06
52.000,reset,1.201823000,1.233140485,1.242597871,0.000026000,1.791829000,-8.313200e+07,-1.916146e+07,1.080239e+06
52.500,reset,1.160257000,1.192242272,1.202363120,0.000043000,1.788312000,-8.313200e+07,-1.782602e+07,3.750679e+06
53.000,reset,1.118691000,1.151343992,1.162132340,0.000059000,1.784795000,-8.313200e+07,-1.649053e+07,6.414155e+06
53.500,reset,1.077125000,1.110445737,1.121898078,0.000075000,1.781277000,-8.313200e+07,-1.515495e+07,9.076652e+06
54.000,reset,1.035559000,1.069547524,1.081663326,0.000092000,1.777760000,-7.852400e+07,-1.381951e+07,1.174709e+07
54.500,reset,0.996297000,1.028649244,1.041432546,0.000169000,1.769785000,-7.399000e+07,-1.217585e+07,1.013782e+07
55.000,reset,0.959302000,0.990209074,1.001365912,0.000468000,1.754371000,-7.099200e+07,-9.984568e+06,2.463454e+06
55.500,reset,0.923806000,0.954309716,0.960533727,0.001028000,1.731860000,-7.099400e+07,-7.256721e+06,-1.055874e+07
56.000,reset,0.888309000,0.920177640,0.918526630,0.001587000,1.709349000,-6.469000e+07,-4.528796e+06,-2.358775e+07
56.500,reset,0.855964000,0.886044602,0.876515123,0.005267000,1.649133000,-6.043400e+07,1.080178e+06,-5.225589e+07
57.000,reset,0.825747000,0.856504089,0.829836055,0.013524000,1.548727000,-4.453200e+07,9.725740e+06,-8.870857e+07
57.500,decay,0.803481000,0.830609870,0.781392713,1.535657000,0.590967000,-2.902000e+06,1.011872e+07,-2.946951e+06
58.000,decay,0.802030000,0.808540362,0.802007524,1.764539000,0.267443000,-2.094000e+06,2.499959e+07,-1.998666e+06
