event_index,spike_time_ns,event_energy_j,event_energy_pj
1,6.657078,2.891466518e-12,2.891467
2,25.146567,3.149872410e-12,3.149872
3,45.142880,3.270716316e-12,3.270716
4,65.142827,3.267840582e-12,3.267841
5,85.142830,3.267902646e-12,3.267903
6,105.142827,3.267859693e-12,3.267860
7,125.142830,3.267902840e-12,3.267903
8,145.142827,3.267859696e-12,3.267860
9,165.142830,3.267902840e-12,3.267903
10,185.142827,3.789931484e-12,3.789931

bootstrap_mean_energy_per_spike_j,bootstrap_mean_energy_per_spike_pj
3.030515017e-12,3.030515
3.105502276e-12,3.105502
3.105802301e-12,3.105802
3.106083629e-12,3.106084
3.117311034e-12,3.117311
3.117315368e-12,3.117315
3.117594804e-12,3.117595
3.117600991e-12,3.117601
3.117601030e-12,3.117601
3.117605306e-12,3.117605
3.117868015e-12,3.117868
3.119552274e-12,3.119552
3.119558500e-12,3.119558
3.119831691e-12,3.119832
3.120080147e-12,3.120080
3.131361543e-12,3.131362
3.131361543e-12,3.131362
3.131634262e-12,3.131634
3.131638576e-12,3.131639
3.131640960e-12,3.131641
3.131642871e-12,3.131643
3.131642890e-12,3.131643
3.131918012e-12,3.131918
3.143141594e-12,3.143142
3.143143505e-12,3.143144
3.143152134e-12,3.143152
3.143154026e-12,3.143154
3.143156449e-12,3.143156
3.143426764e-12,3.143427
3.143431078e-12,3.143431
3.143433482e-12,3.143433
3.143435393e-12,3.143435
3.143441580e-12,3.143442
3.143441619e-12,3.143442
3.143445914e-12,3.143446
3.143721055e-12,3.143721
3.143731557e-12,3.143732
3.144012905e-12,3.144013
3.145669896e-12,3.145670
3.145918844e-12,3.145919
3.145959873e-12,3.145960
3.146206437e-12,3.146206
3.154942687e-12,3.154943
3.154944145e-12,3.154944
3.154948459e-12,3.154948
3.154948459e-12,3.154948
3.154948952e-12,3.154949
3.154950351e-12,3.154950
3.154950843e-12,3.154951
3.154950843e-12,3.154951
3.154950863e-12,3.154951
3.154958980e-12,3.154959
3.154961384e-12,3.154961
3.155236467e-12,3.155236
3.155236486e-12,3.155236
3.155236505e-12,3.155237
3.155238378e-12,3.155238
3.155244643e-12,3.155245
3.155253252e-12,3.155253
3.155528335e-12,3.155528
3.157189661e-12,3.157190
3.157466714e-12,3.157467
3.157468625e-12,3.157469
3.157472920e-12,3.157473
3.157479126e-12,3.157479
3.157487755e-12,3.157488
3.157715169e-12,3.157715
3.157715681e-12,3.157716
3.158046175e-12,3.158046
3.168982183e-12,3.168982
3.168988409e-12,3.168988
3.168992723e-12,3.168993
3.168992724e-12,3.168993
3.168996527e-12,3.168997
3.168996546e-12,3.168997
3.169000841e-12,3.169001
3.169000841e-12,3.169001
3.169271668e-12,3.169272
3.169271668e-12,3.169272
3.169275982e-12,3.169276
3.169275982e-12,3.169276
3.169277893e-12,3.169278
3.169278366e-12,3.169278
3.169280258e-12,3.169280
3.169280278e-12,3.169280
3.169282189e-12,3.169282
3.169290760e-12,3.169291
3.169557311e-12,3.169557
3.169559241e-12,3.169559
3.169561625e-12,3.169562
3.169561625e-12,3.169562
3.169563536e-12,3.169564
3.169567851e-12,3.169568
3.169567870e-12,3.169568
3.169572146e-12,3.169572
3.169803894e-12,3.169804
3.169808189e-12,3.169808
3.169808209e-12,3.169808
3.170079016e-12,3.170079
3.170130566e-12,3.170131
3.172042692e-12,3.172043
3.180780892e-12,3.180781
3.180785207e-12,3.180785
3.180787137e-12,3.180787
3.180791413e-12,3.180791
3.180791432e-12,3.180791
3.180791433e-12,3.180791
3.180791433e-12,3.180791
3.180793305e-12,3.180793
3.180793324e-12,3.180793
3.180793344e-12,3.180793
3.180795274e-12,3.180795
3.180795708e-12,3.180796
3.180797658e-12,3.180798
3.180797658e-12,3.180798
3.180797678e-12,3.180798
3.180797678e-12,3.180798
3.180799569e-12,3.180800
3.180803903e-12,3.180804
3.180808179e-12,3.180808
3.180808199e-12,3.180808
3.181068485e-12,3.181068
3.181068485e-12,3.181068
3.181072307e-12,3.181072
3.181072307e-12,3.181072
3.181072780e-12,3.181073
3.181072780e-12,3.181073
3.181072800e-12,3.181073
3.181074692e-12,3.181075
3.181074710e-12,3.181075
3.181074711e-12,3.181075
3.181076583e-12,3.181077
3.181077095e-12,3.181077
3.181077095e-12,3.181077
3.181077095e-12,3.181077
3.181080879e-12,3.181081
3.181080917e-12,3.181081
3.181081390e-12,3.181081
3.181081409e-12,3.181081
3.181083301e-12,3.181083
3.181083321e-12,3.181083
3.181083321e-12,3.181083
3.181085232e-12,3.181085
3.181085232e-12,3.181085
3.181089527e-12,3.181090
3.181089546e-12,3.181090
3.181089566e-12,3.181090
3.181093861e-12,3.181094
3.181354128e-12,3.181354
3.181356058e-12,3.181356
3.181356531e-12,3.181357
3.181357970e-12,3.181358
3.181362284e-12,3.181362
3.181362738e-12,3.181363
3.181370875e-12,3.181371
3.181370913e-12,3.181371
3.181375150e-12,3.181375
3.181643612e-12,3.181644
3.181647946e-12,3.181648
3.181647946e-12,3.181648
3.181929294e-12,3.181929
3.181933589e-12,3.181934
3.183034073e-12,3.183034
3.183034565e-12,3.183035
3.183315932e-12,3.183316
3.183324030e-12,3.183324
3.183555759e-12,3.183556
3.183560073e-12,3.183560
3.183564368e-12,3.183564
3.183564388e-12,3.183564
3.183568722e-12,3.183569
3.183599171e-12,3.183599
3.183605417e-12,3.183605
3.183835214e-12,3.183835
3.183843824e-12,3.183844
3.186324911e-12,3.186325
3.192582024e-12,3.192582
3.192585846e-12,3.192586
3.192594475e-12,3.192594
3.192594476e-12,3.192594
3.192594476e-12,3.192594
3.192596348e-12,3.192596
3.192596406e-12,3.192596
3.192598298e-12,3.192598
3.192600721e-12,3.192601
3.192602574e-12,3.192603
3.192602593e-12,3.192603
3.192602612e-12,3.192603
3.192603124e-12,3.192603
3.192605035e-12,3.192605
3.192606908e-12,3.192607
3.192865283e-12,3.192865
3.192865302e-12,3.192865
3.192867706e-12,3.192868
3.192873401e-12,3.192873
3.192875823e-12,3.192876
3.192875843e-12,3.192876
3.192875843e-12,3.192876
3.192877715e-12,3.192878
3.192877715e-12,3.192878
3.192877734e-12,3.192878
3.192877735e-12,3.192878
3.192877754e-12,3.192878
3.192877754e-12,3.192878
3.192879646e-12,3.192880
3.192879665e-12,3.192880
3.192880138e-12,3.192880
3.192882010e-12,3.192882
3.192882049e-12,3.192882
3.192886344e-12,3.192886
3.192886364e-12,3.192886
3.192888236e-12,3.192888
3.192888275e-12,3.192888
3.192888275e-12,3.192888
3.192888294e-12,3.192888
3.192890620e-12,3.192891
3.192892570e-12,3.192893
3.193157171e-12,3.193157
3.193157171e-12,3.193157
3.193157171e-12,3.193157
3.193160993e-12,3.193161
3.193163377e-12,3.193163
3.193163377e-12,3.193163
3.193163416e-12,3.193163
3.193169603e-12,3.193170
3.193173937e-12,3.193174
3.193442360e-12,3.193442
3.193444744e-12,3.193445
3.193453335e-12,3.193453
3.194826595e-12,3.194827
3.194835224e-12,3.194835
3.194835224e-12,3.194835
3.194837096e-12,3.194837
3.194845745e-12,3.194846
3.194845764e-12,3.194846
3.195116572e-12,3.195117
3.195118483e-12,3.195118
3.195118955e-12,3.195119
3.195118975e-12,3.195119
3.195120847e-12,3.195121
3.195122778e-12,3.195123
3.195354979e-12,3.195355
3.195358802e-12,3.195359
3.195359313e-12,3.195359
3.195361186e-12,3.195361
3.195399830e-12,3.195400
3.195402234e-12,3.195402
3.195404145e-12,3.195404
3.195636327e-12,3.195636
3.195638257e-12,3.195638
3.195638257e-12,3.195638
3.195642533e-12,3.195643
3.195646848e-12,3.195647
3.195648798e-12,3.195649
3.195694122e-12,3.195694
3.195925831e-12,3.195926
3.206622920e-12,3.206623
3.206627215e-12,3.206627
3.206627235e-12,3.206627
3.206631549e-12,3.206632
3.206632041e-12,3.206632
3.206633933e-12,3.206634
3.206633933e-12,3.206634
3.206633952e-12,3.206634
3.206633952e-12,3.206634
3.206633953e-12,3.206634
3.206635825e-12,3.206636
3.206636317e-12,3.206636
3.206638209e-12,3.206638
3.206640139e-12,3.206640
3.206640159e-12,3.206640
3.206640178e-12,3.206640
3.206642523e-12,3.206643
3.206642523e-12,3.206643
3.206644434e-12,3.206644
3.206644473e-12,3.206644
3.206644493e-12,3.206644
3.206907163e-12,3.206907
3.206911458e-12,3.206911
3.206911458e-12,3.206911
3.206913370e-12,3.206913
3.206913389e-12,3.206913
3.206915300e-12,3.206915
3.206917684e-12,3.206918
3.206917703e-12,3.206918
3.206919576e-12,3.206920
3.206919576e-12,3.206920
3.206919595e-12,3.206920
3.206919595e-12,3.206920
3.206919595e-12,3.206920
3.206919615e-12,3.206920
3.206921487e-12,3.206921
3.206921506e-12,3.206922
3.206923890e-12,3.206924
3.206923910e-12,3.206924
3.206923910e-12,3.206924
3.206923929e-12,3.206924
3.206930116e-12,3.206930
3.207149412e-12,3.207149
3.207155619e-12,3.207156
3.207158022e-12,3.207158
3.207158022e-12,3.207158
3.207158022e-12,3.207158
3.207158042e-12,3.207158
3.207159934e-12,3.207160
3.207164229e-12,3.207164
3.207166159e-12,3.207166
3.207170416e-12,3.207170
3.207188510e-12,3.207189
3.207196629e-12,3.207197
3.207197140e-12,3.207197
3.207207168e-12,3.207207
3.207207168e-12,3.207207
3.207207168e-12,3.207207
3.207207188e-12,3.207207
3.207209533e-12,3.207210
3.207211464e-12,3.207211
3.207211483e-12,3.207211
3.207211502e-12,3.207212
3.207441281e-12,3.207441
3.207443684e-12,3.207444
3.207445596e-12,3.207446
3.207447526e-12,3.207448
3.207480379e-12,3.207480
3.207486624e-12,3.207487
3.207488516e-12,3.207489
3.207490920e-12,3.207491
3.207724540e-12,3.207725
3.207724540e-12,3.207725
3.207726963e-12,3.207727
3.207726963e-12,3.207727
3.207733169e-12,3.207733
3.207733189e-12,3.207733
3.207737484e-12,3.207737
3.208014517e-12,3.208015
3.209158432e-12,3.209158
3.209160324e-12,3.209160
3.209392545e-12,3.209393
3.209396367e-12,3.209396
3.209396840e-12,3.209397
3.209400643e-12,3.209401
3.209677715e-12,3.209678
3.209686324e-12,3.209686
3.209686325e-12,3.209686
3.209690658e-12,3.209691
3.209924771e-12,3.209925
3.218420210e-12,3.218420
3.218422633e-12,3.218423
3.218424524e-12,3.218425
3.218424544e-12,3.218425
3.218426436e-12,3.218426
3.218426436e-12,3.218426
3.218426947e-12,3.218427
3.218428366e-12,3.218428
3.218430751e-12,3.218431
3.218430770e-12,3.218431
3.218432642e-12,3.218433
3.218433115e-12,3.218433
3.218435045e-12,3.218435
3.218435046e-12,3.218435
3.218435084e-12,3.218435
3.218436918e-12,3.218437
3.218436995e-12,3.218437
3.218436995e-12,3.218437
3.218436996e-12,3.218437
3.218438868e-12,3.218439
3.218439341e-12,3.218439
3.218439360e-12,3.218439
3.218441252e-12,3.218441
3.218441310e-12,3.218441
3.218445586e-12,3.218446
3.218447536e-12,3.218448
3.218456107e-12,3.218456
3.218705872e-12,3.218706
3.218707783e-12,3.218708
3.218707803e-12,3.218708
3.218710186e-12,3.218710
3.218710206e-12,3.218710
3.218712098e-12,3.218712
3.218712118e-12,3.218712
3.218715921e-12,3.218716
3.218716393e-12,3.218716
3.218716393e-12,3.218716
3.218716412e-12,3.218716
3.218716412e-12,3.218716
3.218716432e-12,3.218716
3.218716432e-12,3.218716
3.218718304e-12,3.218718
3.218718304e-12,3.218718
3.218718305e-12,3.218718
3.218718324e-12,3.218718
3.218718324e-12,3.218718
3.218718324e-12,3.218718
3.218718324e-12,3.218718
3.218718343e-12,3.218718
3.218718343e-12,3.218718
3.218718343e-12,3.218718
3.218720235e-12,3.218720
3.218720254e-12,3.218720
3.218720254e-12,3.218720
3.218720254e-12,3.218720
3.218720727e-12,3.218721
3.218720727e-12,3.218721
3.218720727e-12,3.218721
3.218722599e-12,3.218723
3.218722619e-12,3.218723
3.218722638e-12,3.218723
3.218722638e-12,3.218723
3.218722658e-12,3.218723
3.218724530e-12,3.218725
3.218724549e-12,3.218725
3.218726933e-12,3.218727
3.218726933e-12,3.218727
3.218726933e-12,3.218727
3.218726953e-12,3.218727
3.218726972e-12,3.218727
3.218728825e-12,3.218729
3.218728844e-12,3.218729
3.218728845e-12,3.218729
3.218728845e-12,3.218729
3.218733198e-12,3.218733
3.218733198e-12,3.218733
3.218993465e-12,3.218993
3.218995357e-12,3.218995
3.218997779e-12,3.218998
3.218997779e-12,3.218998
3.218997780e-12,3.218998
3.218999671e-12,3.219000
3.218999691e-12,3.219000
3.219002055e-12,3.219002
3.219003986e-12,3.219004
3.219003986e-12,3.219004
3.219003986e-12,3.219004
3.219003986e-12,3.219004
3.219005897e-12,3.219006
3.219005917e-12,3.219006
3.219006389e-12,3.219006
3.219006389e-12,3.219006
3.219008300e-12,3.219008
3.219010212e-12,3.219010
3.219010231e-12,3.219010
3.219012615e-12,3.219013
3.219014488e-12,3.219014
3.219014545e-12,3.219015
3.219281038e-12,3.219281
3.219282930e-12,3.219283
3.219283442e-12,3.219283
3.219285353e-12,3.219285
3.219287245e-12,3.219287
3.219287245e-12,3.219287
3.219287737e-12,3.219288
3.219289648e-12,3.219290
3.219289667e-12,3.219290
3.219289667e-12,3.219290
3.219291540e-12,3.219292
3.219291559e-12,3.219292
3.219295835e-12,3.219296
3.219295893e-12,3.219296
3.219571015e-12,3.219571
3.219581536e-12,3.219582
3.220669587e-12,3.220670
3.220671479e-12,3.220671
3.220673863e-12,3.220674
3.220673863e-12,3.220674
3.220675813e-12,3.220676
3.220680108e-12,3.220680
3.220952827e-12,3.220953
3.220971996e-12,3.220972
3.221189343e-12,3.221189
3.221191254e-12,3.221191
3.221193184e-12,3.221193
