iter,phase,loss,timing_loss,count_penalty,order_penalty,energy_penalty,timing_pct,count_pct,order_pct,energy_pct,energy_weight,energy_pj,r_fb,rleak,iin_amp,spike0_ns,spike1_ns,spike2_ns,spike3_ns,holdout_loss,holdout_timing_loss,holdout_energy_pj,grad_r_fb_x,grad_rleak_x,grad_iin_amp_x,update_r_fb_x,update_rleak_x,update_iin_amp_x
0,iter_00_train_base,0.168084973,0.068084973,0.000000000,0.000000000,0.100000000,40.506281923,0.000000000,0.000000000,59.493718077,0.100000000,134.270706795,1000.000000000,8000000.000000000,1.800000000,11.174761117,13.756250012,14.714835520,15.226607554,0.166547405,0.066997981,133.665714985,-0.290578390,0.002037927,-1.183180072,0.002297918,-0.000012227,0.004518855
1,iter_01_train_base,0.167333808,0.067332628,0.000000000,0.000000000,0.100001180,40.238508231,0.000000000,0.000000000,59.761491769,0.100000000,134.272291272,1002.297918107,7999987.773437561,1.800000000,11.172646282,13.754521988,14.713731182,15.226283800,0.166135928,0.066583124,133.670253371,-0.287176704,0.000615710,-1.132178646,0.002271323,-0.000003694,0.004332508
2,iter_02_train_base,0.166632929,0.066629707,0.000000000,0.000000000,0.100003223,39.985918022,0.000000000,0.000000000,60.014081978,0.100000000,134.275034133,1004.569240901,7999984.079271477,1.800000000,11.171064279,13.752776865,14.712551324,15.225536655,0.165497712,0.065946088,133.668669347,-0.285650814,0.000487461,-1.202561783,0.002259391,-0.000002925,0.004589482
3,iter_03_train_base,0.165627853,0.065621676,0.000000000,0.000000000,0.100006177,39.619952179,0.000000000,0.000000000,60.380047821,0.100000000,134.279000328,1006.828631545,7999981.154560008,1.800000000,11.165977499,13.751183929,14.712259452,15.225990254,0.165533607,0.065978251,133.673680092,-0.283117021,0.000773485,-1.210961361,0.002239574,-0.000004641,0.004620057
4,final,0.165598017,0.065592517,0.000000000,0.000000000,0.100005500,39.609482278,0.000000000,0.000000000,60.390517722,0.100000000,134.278091299,1009.068205258,7999976.513791859,1.800000000,11.169750522,13.749436904,14.710491170,15.224972044,0.164207907,0.064651258,133.675416267,,,,,,
