iter,phase,split,delay_ns,status,loss,timing_loss,count_penalty,order_penalty,energy_penalty,energy_pj,spike0_first_ns,spike1_first_ns,spike2_first_ns,spike3_first_ns,spike0_target_ns,spike1_target_ns,spike2_target_ns,spike3_target_ns,spike0_count,spike1_count,spike2_count,spike3_count,eval_dir
0,iter_00_train_base,train,5.000000000,OK,0.168866476,0.068467401,0.000000000,0.000000000,0.100399075,134.806547808,9.676048867,12.257209350,13.215085018,13.726522514,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_164116/iter_00_train_base/trace_00_5.000ns
0,iter_00_train_base,train,8.000000000,OK,0.167303470,0.067702545,0.000000000,0.000000000,0.099600925,133.734865781,12.673473367,15.255290674,16.214586022,16.726692595,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_164116/iter_00_train_base/trace_01_8.000ns
0,iter_00_holdout_base,holdout,6.500000000,OK,0.166784617,0.066739910,0.000000000,0.000000000,0.100044707,134.330735751,11.166304922,13.754174793,14.716145571,15.228252768,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_164116/iter_00_holdout_base/trace_00_6.500ns
0,iter_00_holdout_base,holdout,9.500000000,OK,0.166310192,0.067256052,0.000000000,0.000000000,0.099054140,133.000694219,14.173501905,16.755263072,17.711854722,18.223545504,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_164116/iter_00_holdout_base/trace_01_9.500ns
1,iter_01_train_base,train,5.000000000,OK,0.168269239,0.067870291,0.000000000,0.000000000,0.100398949,134.806378217,9.674869062,12.255568352,13.213926299,13.726548560,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_164116/iter_01_train_base/trace_00_5.000ns
1,iter_01_train_base,train,8.000000000,OK,0.166398377,0.066794966,0.000000000,0.000000000,0.099603411,133.738204327,12.670423501,15.253475624,16.213536064,16.726019041,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_164116/iter_01_train_base/trace_01_8.000ns
1,iter_01_holdout_base,holdout,6.500000000,OK,0.166373637,0.066324717,0.000000000,0.000000000,0.100048920,134.336392372,11.165675101,13.753120522,14.715096035,15.227841636,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_164116/iter_01_holdout_base/trace_00_6.500ns
1,iter_01_holdout_base,holdout,9.500000000,OK,0.165898219,0.066841532,0.000000000,0.000000000,0.099056687,133.004114369,14.173669225,16.753595648,17.710755655,18.223180274,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_164116/iter_01_holdout_base/trace_01_9.500ns
2,iter_02_train_base,train,5.000000000,OK,0.167587753,0.067184819,0.000000000,0.000000000,0.100402934,134.811728851,9.673627496,12.253774013,13.212635736,13.725650092,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_164116/iter_02_train_base/trace_00_5.000ns
2,iter_02_train_base,train,8.000000000,OK,0.165678106,0.066074594,0.000000000,0.000000000,0.099603512,133.738339414,12.668501061,15.251779717,16.212466913,16.725423218,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_164116/iter_02_train_base/trace_01_8.000ns
