time_ns,spike0,spike1,spike2,spike3
66.000,0.088131,0.051955,0.060332,0.071249
66.500,0.156849,0.050165,0.058023,0.068182
67.000,0.332303,0.048474,0.055856,0.065326
67.500,0.738337,0.057178,0.053829,0.062679
68.000,0.772490,0.087954,0.051927,0.060214
68.500,0.646715,0.155090,0.050138,0.057912
69.000,0.527912,0.331938,0.048449,0.055753
69.500,0.438169,0.738854,0.057138,0.053733
70.000,0.364495,0.771109,0.088094,0.051837
70.500,0.307772,0.646269,0.153346,0.050051
71.000,0.266335,0.527708,0.331449,0.048369
71.500,0.234383,0.437943,0.738229,0.057049
72.000,0.208985,0.364304,0.770955,0.087936
72.500,0.188186,0.307618,0.646230,0.152924
73.000,0.171086,0.266607,0.528815,0.348969
73.500,0.156515,0.234312,0.437898,0.732066
74.000,0.144191,0.208889,0.364148,0.770390
74.500,0.133564,0.188181,0.307772,0.645347
75.000,0.124336,0.171084,0.266711,0.528574
75.500,0.116271,0.156796,0.235259,0.439692
76.000,0.109020,0.144368,0.209450,0.366017
76.500,0.102655,0.133870,0.189006,0.310532
77.000,0.096876,0.124601,0.171768,0.268336
77.500,0.091614,0.116352,0.156985,0.235037
78.000,0.086765,0.108919,0.144168,0.208861
78.500,0.082581,0.102717,0.133996,0.188912
79.000,0.078492,0.096687,0.124186,0.169898
79.500,0.074995,0.091693,0.116491,0.157000
80.000,0.071508,0.086717,0.108827,0.144157
80.500,0.068694,0.082848,0.103175,0.134905
81.000,0.065880,0.078978,0.097523,0.125652
81.500,0.063066,0.075109,0.091871,0.116399
82.000,0.060475,0.071587,0.086813,0.108465
82.500,0.058260,0.068650,0.082755,0.102759
83.000,0.056046,0.065713,0.078698,0.097052
83.500,0.053917,0.062904,0.074838,0.091580
84.000,0.052109,0.060566,0.071712,0.086973
84.500,0.050300,0.058229,0.068585,0.082367
85.000,0.048491,0.055892,0.065458,0.077761
85.500,0.057156,0.053862,0.062811,0.074578
86.000,0.088181,0.051959,0.060337,0.071258
86.500,0.157008,0.050169,0.058029,0.068191
87.000,0.332314,0.048477,0.055860,0.065333
87.500,0.738243,0.057186,0.053834,0.062686
88.000,0.772533,0.087953,0.051931,0.060220
88.500,0.646728,0.155144,0.050142,0.057918
89.000,0.527920,0.332012,0.048453,0.055758
89.500,0.438174,0.738930,0.057144,0.053738
90.000,0.364499,0.771137,0.088101,0.051842
90.500,0.307772,0.646279,0.153350,0.050055
91.000,0.266338,0.527712,0.331500,0.048373
91.500,0.234385,0.437946,0.738311,0.057053
92.000,0.208986,0.364307,0.770981,0.087945
92.500,0.188188,0.307620,0.646240,0.152948
93.000,0.171087,0.266608,0.528818,0.349011
93.500,0.156516,0.234313,0.437901,0.732161
94.000,0.144191,0.208890,0.364151,0.770411
94.500,0.133564,0.188182,0.307773,0.645356
95.000,0.124337,0.171085,0.266712,0.528578
95.500,0.116272,0.156796,0.235260,0.439695
96.000,0.109020,0.144369,0.209451,0.366019
96.500,0.102656,0.133870,0.189007,0.310535
97.000,0.096877,0.124601,0.171768,0.268337
97.500,0.091614,0.116352,0.156986,0.235039
98.000,0.086765,0.108920,0.144168,0.208861
98.500,0.082581,0.102717,0.133996,0.188913
99.000,0.078493,0.096687,0.124186,0.169900
99.500,0.074995,0.091694,0.116491,0.157001
100.000,0.071508,0.086717,0.108827,0.144157
100.500,0.068694,0.082848,0.103175,0.134905
101.000,0.065880,0.078978,0.097523,0.125652
101.500,0.063066,0.075109,0.091871,0.116399
102.000,0.060475,0.071587,0.086813,0.108466
102.500,0.058261,0.068650,0.082756,0.102759
103.000,0.056046,0.065713,0.078698,0.097052
103.500,0.053917,0.062904,0.074838,0.091579
104.000,0.052109,0.060566,0.071712,0.086973
104.500,0.050300,0.058229,0.068585,0.082368
105.000,0.048491,0.055892,0.065458,0.077762
105.500,0.057156,0.053863,0.062811,0.074578
106.000,0.088181,0.051959,0.060337,0.071258
106.500,0.157009,0.050169,0.058029,0.068191
107.000,0.332315,0.048477,0.055861,0.065333
107.500,0.738245,0.057186,0.053834,0.062686
108.000,0.772534,0.087953,0.051931,0.060220
108.500,0.646729,0.155144,0.050142,0.057918
109.000,0.527921,0.332013,0.048453,0.055758
109.500,0.438174,0.738931,0.057144,0.053738
110.000,0.364499,0.771138,0.088101,0.051842
110.500,0.307772,0.646279,0.153350,0.050055
111.000,0.266338,0.527713,0.331501,0.048373
111.500,0.234385,0.437946,0.738312,0.057053
112.000,0.208986,0.364307,0.770981,0.087945
112.500,0.188188,0.307620,0.646240,0.152948
113.000,0.171087,0.266608,0.528818,0.349012
113.500,0.156516,0.234313,0.437901,0.732162
114.000,0.144191,0.208890,0.364151,0.770411
114.500,0.133564,0.188182,0.307773,0.645356
115.000,0.124337,0.171085,0.266712,0.528578
115.500,0.116272,0.156796,0.235260,0.439695
116.000,0.109020,0.144369,0.209451,0.366020
116.500,0.102656,0.133870,0.189007,0.310535
117.000,0.096877,0.124601,0.171768,0.268337
117.500,0.091614,0.116352,0.156986,0.235039
118.000,0.086765,0.108920,0.144168,0.208861
118.500,0.082581,0.102717,0.133996,0.188913
119.000,0.078493,0.096687,0.124186,0.169900
119.500,0.074995,0.091694,0.116491,0.157001
120.000,0.071508,0.086717,0.108827,0.144157
