time_ns,mem0,mem1,mem2,mem3
66.000,0.286415,0.163634,0.273834,0.758683
66.500,0.383836,0.258001,0.265470,0.688589
67.000,0.470471,0.363139,0.331502,0.661737
67.500,0.534190,0.465649,0.421078,0.672849
68.000,0.563633,0.560495,0.510405,0.689928
68.500,0.568086,0.644661,0.595045,0.708758
69.000,0.558039,0.718468,0.673894,0.727428
69.500,0.538665,0.781942,0.746427,0.745171
70.000,0.513220,0.834251,0.811765,0.761409
70.500,0.485040,0.875974,0.870038,0.775910
71.000,0.456100,0.910634,0.923541,0.789179
71.500,0.426843,0.936371,0.970987,0.800845
72.000,0.398699,0.954060,1.013093,0.811062
72.500,0.371499,0.964924,1.050670,0.820051
73.000,0.344935,0.972979,1.086543,0.828579
73.500,0.320460,0.971812,1.116817,0.835593
74.000,0.298074,0.961714,1.143123,0.841563
74.500,0.277688,0.936406,1.166538,0.846800
75.000,0.259937,0.882208,1.186966,0.851338
75.500,0.244781,0.809253,1.204375,0.855250
76.000,0.231763,0.728967,1.218963,0.858641
76.500,0.220526,0.648238,1.230765,0.861579
77.000,0.210778,0.571387,1.239723,0.864113
77.500,0.202266,0.501060,1.245632,0.866281
78.000,0.194879,0.439635,1.247603,0.868080
78.500,0.188111,0.384460,1.246110,0.869650
79.000,0.181895,0.335000,1.241252,0.871014
79.500,0.176378,0.294017,1.228293,0.872078
80.000,0.171338,0.260005,1.187753,0.872856
80.500,0.166699,0.232720,1.108000,0.873152
81.000,0.162372,0.210581,1.009588,0.872825
81.500,0.158343,0.193078,0.903978,0.871610
82.000,0.154557,0.178972,0.800277,0.869365
82.500,0.150964,0.167303,0.702023,0.866063
83.000,0.147599,0.158162,0.613819,0.861124
83.500,0.144439,0.150845,0.537033,0.853919
84.000,0.141349,0.144154,0.464164,0.845938
84.500,0.138541,0.139383,0.407740,0.832389
85.000,0.135740,0.134666,0.351779,0.818682
85.500,0.187251,0.134266,0.307892,0.797519
86.000,0.286479,0.163447,0.273657,0.757937
86.500,0.383876,0.258040,0.265390,0.687719
87.000,0.470504,0.363174,0.331511,0.660993
87.500,0.534276,0.465698,0.421107,0.672207
88.000,0.563268,0.560334,0.510355,0.689408
88.500,0.567865,0.644504,0.594998,0.708297
89.000,0.557883,0.718274,0.673830,0.727022
89.500,0.538531,0.781621,0.746286,0.744798
90.000,0.513366,0.834633,0.812097,0.761194
90.500,0.485058,0.876118,0.870225,0.775705
91.000,0.456115,0.910291,0.923403,0.788923
91.500,0.426814,0.936828,0.971397,0.800768
92.000,0.398770,0.953685,1.012940,0.810857
92.500,0.371387,0.965450,1.051091,0.820024
93.000,0.345078,0.972416,1.086321,0.828399
93.500,0.320498,0.971658,1.116848,0.835498
94.000,0.298087,0.961655,1.143207,0.841496
94.500,0.277701,0.936318,1.166619,0.846744
95.000,0.259936,0.882257,1.187059,0.851295
95.500,0.244824,0.809055,1.204409,0.855203
96.000,0.232010,0.729124,1.218642,0.858547
96.500,0.220610,0.649001,1.230628,0.861527
97.000,0.211047,0.573736,1.238947,0.864001
97.500,0.202329,0.502545,1.245266,0.866228
98.000,0.194810,0.440384,1.247490,0.868065
98.500,0.187954,0.384105,1.246645,0.869672
99.000,0.181794,0.335144,1.241520,0.871016
99.500,0.176290,0.294224,1.228498,0.872076
100.000,0.171252,0.260153,1.188175,0.872856
100.500,0.166622,0.232932,1.108183,0.873140
101.000,0.162288,0.210595,1.010317,0.872838
101.500,0.158257,0.192980,0.904621,0.871655
102.000,0.154485,0.179001,0.801071,0.869356
102.500,0.150899,0.167360,0.702865,0.866048
103.000,0.147537,0.158178,0.614838,0.861070
103.500,0.144364,0.150718,0.537024,0.854053
104.000,0.141310,0.144278,0.465970,0.845626
104.500,0.138466,0.139247,0.407246,0.832903
105.000,0.135684,0.134627,0.352122,0.818925
105.500,0.186999,0.134095,0.308122,0.797863
106.000,0.286407,0.163283,0.273790,0.758621
106.500,0.383783,0.258653,0.266006,0.688754
107.000,0.470403,0.363705,0.332484,0.662739
107.500,0.534157,0.466156,0.422021,0.673823
108.000,0.563109,0.560707,0.511158,0.690832
108.500,0.567689,0.644804,0.595689,0.709533
109.000,0.557709,0.718516,0.674418,0.728087
109.500,0.538351,0.781794,0.746768,0.745709
110.000,0.513204,0.834793,0.812515,0.761977
110.500,0.484896,0.876227,0.870560,0.776374
111.000,0.455959,0.910339,0.923655,0.789488
111.500,0.426665,0.936884,0.971617,0.801253
112.000,0.398634,0.953678,1.013089,0.811265
112.500,0.371252,0.965460,1.051226,0.820376
113.000,0.344964,0.972352,1.086389,0.828686
113.500,0.320387,0.971597,1.116904,0.835744
114.000,0.297986,0.961554,1.143238,0.841703
114.500,0.277612,0.936114,1.166632,0.846920
115.000,0.259856,0.881955,1.187059,0.851443
115.500,0.244762,0.808659,1.204389,0.855328
116.000,0.231967,0.728759,1.218591,0.858649
116.500,0.220565,0.648704,1.230575,0.861615
117.000,0.210989,0.573383,1.238922,0.864080
117.500,0.202323,0.502520,1.245096,0.866280
118.000,0.194778,0.440237,1.247356,0.868116
118.500,0.187887,0.383555,1.246788,0.869729
119.000,0.181765,0.335010,1.241417,0.871052
119.500,0.176261,0.294074,1.228404,0.872108
120.000,0.171225,0.260035,1.187878,0.872881
