time_ns,spike0,spike1,spike2,spike3
66.000,0.227805,0.251680,0.784338,1.767851
66.500,0.365406,0.290149,0.699326,1.763781
67.000,0.477903,0.432397,0.742171,1.761834
67.500,0.580650,0.532872,0.767603,1.762645
68.000,0.672144,0.624603,0.790895,1.763829
68.500,0.751504,0.707962,0.812574,1.765034
69.000,0.820079,0.783958,0.832637,1.766143
69.500,0.878290,0.852823,0.850970,1.767125
70.000,0.925555,0.914101,0.867287,1.767961
70.500,0.962566,0.968262,0.881624,1.768662
71.000,0.992728,1.017725,0.894624,1.769279
71.500,1.014238,1.061284,0.905928,1.769792
72.000,1.027738,1.099760,0.915775,1.770226
72.500,1.034447,1.133927,0.924387,1.770592
73.000,1.038128,1.166495,0.932545,1.770937
73.500,1.031868,1.193813,0.939211,1.771208
74.000,1.013438,1.217429,0.944876,1.771433
74.500,0.962119,1.238279,0.949833,1.771627
75.000,0.878821,1.256134,0.954118,1.771792
75.500,0.788917,1.270964,0.957808,1.771932
76.000,0.698974,1.282956,0.960997,1.772052
76.500,0.614126,1.292103,0.963748,1.772155
77.000,0.536541,1.298301,0.966119,1.772243
77.500,0.467874,1.301219,0.968129,1.772317
78.000,0.409207,1.299687,0.969789,1.772379
78.500,0.357137,1.293870,0.971217,1.772432
79.000,0.311024,1.283716,0.972438,1.772478
79.500,0.273240,1.259902,0.973345,1.772514
80.000,0.242105,1.173513,0.973831,1.772540
80.500,0.217121,1.062369,0.973572,1.772550
81.000,0.196936,0.946473,0.972459,1.772540
81.500,0.180847,0.833389,0.970173,1.772499
82.000,0.167957,0.728687,0.966562,1.772423
82.500,0.157133,0.633141,0.961595,1.772311
83.000,0.148748,0.550133,0.954539,1.772140
83.500,0.141891,0.479410,0.944513,1.771884
84.000,0.135558,0.412901,0.933467,1.771598
84.500,0.131084,0.362491,0.914662,1.771079
85.000,0.126662,0.312534,0.895638,1.770552
85.500,0.136931,0.274529,0.863819,1.769665
86.000,0.227660,0.251463,0.783007,1.767815
86.500,0.365431,0.290104,0.698373,1.763722
87.000,0.477932,0.432424,0.741480,1.761778
87.500,0.580705,0.532915,0.767011,1.762599
88.000,0.671964,0.624500,0.790365,1.763792
88.500,0.751341,0.707887,0.812122,1.765004
89.000,0.819886,0.783875,0.832244,1.766118
89.500,0.877976,0.852668,0.850609,1.767104
90.000,0.925926,0.914431,0.867105,1.767952
90.500,0.962705,0.968438,0.881439,1.768653
91.000,0.992397,1.017585,0.894381,1.769266
91.500,1.014688,1.061672,0.905866,1.769790
92.000,1.027373,1.099611,0.915582,1.770216
92.500,1.035005,1.134318,0.924368,1.770592
93.000,1.037493,1.166284,0.932374,1.770929
93.500,1.031700,1.193839,0.939124,1.771204
94.000,1.013361,1.217503,0.944816,1.771430
94.500,0.962073,1.238352,0.949783,1.771625
95.000,0.878876,1.256219,0.954079,1.771790
95.500,0.788929,1.270989,0.957764,1.771930
96.000,0.699954,1.282624,0.960907,1.772049
96.500,0.615030,1.291963,0.963701,1.772153
97.000,0.539456,1.297462,0.966009,1.772239
97.500,0.469314,1.300840,0.968083,1.772316
98.000,0.409883,1.299552,0.969773,1.772378
98.500,0.356799,1.294545,0.971238,1.772433
99.000,0.310945,1.284113,0.972445,1.772479
