time_ns,syn_post,mem,spike
106.500,1.302899,0.683493,0.156406
107.000,1.334552,0.750246,0.340627
107.500,1.192309,0.789101,0.729768
108.000,1.054822,0.790324,0.774602
108.500,0.956065,0.782103,0.646483
109.000,0.883250,0.772928,0.527526
109.500,0.829620,0.763465,0.438189
110.000,0.789580,0.753792,0.366474
110.500,0.757051,0.744035,0.307681
111.000,0.732368,0.734147,0.266755
111.500,0.712477,0.724168,0.235846
112.000,0.694955,0.714205,0.209419
112.500,0.680193,0.704315,0.188431
113.000,0.667551,0.694608,0.172119
113.500,0.655182,0.684950,0.156404
114.000,0.644648,0.675624,0.144692
114.500,0.634231,0.666342,0.133288
115.000,0.625054,0.657517,0.125140
115.500,0.615877,0.648693,0.116992
116.000,0.606699,0.639869,0.108844
116.500,0.598405,0.631535,0.102843
117.000,0.590228,0.623267,0.097126
117.500,0.582051,0.614999,0.091409
118.000,0.574365,0.607111,0.086940
118.500,0.566921,0.599410,0.083085
119.000,0.559476,0.591709,0.079230
119.500,0.552032,0.584007,0.075374
120.000,0.544587,0.576306,0.071519
120.500,0.537687,0.569088,0.068652
121.000,0.530893,0.561965,0.065979
121.500,0.524100,0.554842,0.063305
122.000,0.517306,0.547719,0.060632
122.500,0.510512,0.540596,0.057959
123.000,0.504041,0.533782,0.055843
123.500,0.497735,0.527126,0.054010
124.000,0.491429,0.520470,0.052177
124.500,0.485122,0.513814,0.050344
125.000,0.478816,0.507158,0.048511
125.500,1.064462,0.539018,0.057160
126.000,1.241870,0.610059,0.087792
126.500,1.303526,0.683909,0.153920
127.000,1.334488,0.750038,0.347201
127.500,1.191615,0.789115,0.729751
128.000,1.054165,0.790318,0.774531
128.500,0.955614,0.782060,0.645793
129.000,0.883263,0.772887,0.527509
129.500,0.829488,0.763430,0.437906
130.000,0.788878,0.753776,0.364483
130.500,0.757189,0.744036,0.307626
131.000,0.732119,0.734162,0.266303
131.500,0.711902,0.724190,0.234213
132.000,0.695238,0.714230,0.209780
132.500,0.680363,0.704353,0.188662
133.000,0.667209,0.694596,0.170981
133.500,0.655705,0.685069,0.157310
134.000,0.644505,0.675617,0.144287
134.500,0.634553,0.666477,0.133923
135.000,0.624787,0.657416,0.124091
135.500,0.615872,0.648719,0.116685
136.000,0.606957,0.640022,0.109278
136.500,0.598417,0.631549,0.102711
137.000,0.590295,0.623326,0.097083
137.500,0.582172,0.615102,0.091454
138.000,0.574396,0.607143,0.086770
138.500,0.566893,0.599394,0.082835
139.000,0.559390,0.591645,0.078899
139.500,0.551888,0.583896,0.074964
140.000,0.544818,0.576525,0.071773
140.500,0.537861,0.569251,0.068774
141.000,0.530903,0.561978,0.065776
141.500,0.523945,0.554704,0.062778
142.000,0.517232,0.547659,0.060300
142.500,0.510684,0.540769,0.058175
143.000,0.504136,0.533879,0.056050
143.500,0.497679,0.527076,0.053988
144.000,0.491433,0.520481,0.052074
144.500,0.485188,0.513885,0.050159
145.000,0.478942,0.507290,0.048245
145.500,1.066561,0.538747,0.057016
146.000,1.241498,0.609928,0.087929
146.500,1.303055,0.683611,0.156407
147.000,1.334611,0.750396,0.339757
147.500,1.192335,0.789156,0.730632
148.000,1.054798,0.790347,0.775007
148.500,0.955864,0.782111,0.646464
149.000,0.883581,0.772927,0.528042
149.500,0.829497,0.763473,0.438034
150.000,0.789840,0.753797,0.366730
150.500,0.757460,0.744041,0.308555
151.000,0.732989,0.734149,0.268016
151.500,0.711644,0.724190,0.234270
152.000,0.694836,0.714206,0.208950
152.500,0.680613,0.704361,0.189287
153.000,0.666982,0.694549,0.170921
153.500,0.655597,0.685043,0.157213
154.000,0.644380,0.675560,0.143854
154.500,0.634651,0.666514,0.134340
155.000,0.625030,0.657501,0.125105
155.500,0.615474,0.648518,0.116023
156.000,0.606990,0.640055,0.109492
156.500,0.598507,0.631592,0.102960
157.000,0.590024,0.623129,0.096428
157.500,0.582244,0.615165,0.091799
158.000,0.574574,0.607279,0.087467
158.500,0.566905,0.599393,0.083135
159.000,0.559235,0.591506,0.078803
159.500,0.551866,0.583878,0.075038
160.000,0.544892,0.576589,0.072015
160.500,0.537917,0.569299,0.068992
161.000,0.530943,0.562010,0.065969
161.500,0.523968,0.554720,0.062946
162.000,0.517094,0.547526,0.060110
162.500,0.510714,0.540797,0.058188
163.000,0.504333,0.534069,0.056265
163.500,0.497953,0.527341,0.054343
164.000,0.491572,0.520613,0.052420
164.500,0.485192,0.513884,0.050498
165.000,0.478811,0.507156,0.048576
165.500,1.064865,0.539021,0.057150
166.000,1.242789,0.610068,0.087552
166.500,1.304013,0.684012,0.153063
167.000,1.334557,0.750044,0.346878
167.500,1.191644,0.789118,0.729808
168.000,1.054186,0.790321,0.774580
168.500,0.955635,0.782062,0.645826
169.000,0.883272,0.772889,0.527526
169.500,0.829494,0.763432,0.437920
170.000,0.788902,0.753778,0.364527
170.500,0.757175,0.744038,0.307589
171.000,0.732105,0.734164,0.266279
171.500,0.711884,0.724191,0.234171
172.000,0.695252,0.714232,0.209804
172.500,0.680363,0.704354,0.188664
173.000,0.667197,0.694595,0.170948
173.500,0.655710,0.685071,0.157316
174.000,0.644498,0.675616,0.144269
174.500,0.634556,0.666479,0.133933
175.000,0.624779,0.657413,0.124064
175.500,0.615872,0.648720,0.116679
176.000,0.606965,0.640027,0.109293
176.500,0.598413,0.631547,0.102701
177.000,0.590296,0.623327,0.097087
177.500,0.582180,0.615108,0.091472
178.000,0.574391,0.607140,0.086754
178.500,0.566893,0.599395,0.082829
179.000,0.559395,0.591649,0.078903
179.500,0.551897,0.583904,0.074978
180.000,0.544815,0.576522,0.071767
180.500,0.537861,0.569252,0.068775
181.000,0.530907,0.561982,0.065783
181.500,0.523953,0.554711,0.062792
182.000,0.517229,0.547656,0.060290
182.500,0.510684,0.540768,0.058170
183.000,0.504139,0.533881,0.056050
183.500,0.497678,0.527075,0.053988
184.000,0.491433,0.520481,0.052073
184.500,0.485188,0.513886,0.050159
185.000,0.478943,0.507291,0.048245
185.500,1.066543,0.538749,0.057017
186.000,1.241503,0.609928,0.087928
186.500,1.303057,0.683612,0.156404
187.000,1.334612,0.750397,0.339738
187.500,1.192335,0.789157,0.730639
188.000,1.054798,0.790347,0.775011
188.500,0.955863,0.782111,0.646464
189.000,0.883582,0.772927,0.528044
189.500,0.829499,0.763473,0.438038
190.000,0.789839,0.753797,0.366727
190.500,0.757461,0.744041,0.308556
191.000,0.732991,0.734149,0.268021
191.500,0.711650,0.724190,0.234280
192.000,0.694833,0.714206,0.208940
192.500,0.680614,0.704361,0.189289
193.000,0.666976,0.694548,0.170908
193.500,0.655597,0.685043,0.157212
194.000,0.644375,0.675558,0.143841
194.500,0.634653,0.666515,0.134345
195.000,0.625028,0.657500,0.125100
195.500,0.615478,0.648521,0.116034
196.000,0.606992,0.640056,0.109494
196.500,0.598505,0.631591,0.102955
197.000,0.590019,0.623126,0.096415
197.500,0.582247,0.615167,0.091808
198.000,0.574575,0.607279,0.087470
198.500,0.566903,0.599391,0.083132
199.000,0.559231,0.591503,0.078794
199.500,0.551871,0.583882,0.075045
200.000,0.544894,0.576591,0.072018
200.500,0.537917,0.569299,0.068991
201.000,0.530940,0.562007,0.065964
201.500,0.523964,0.554716,0.062936
202.000,0.517101,0.547532,0.060121
202.500,0.510719,0.540803,0.058197
203.000,0.504338,0.534073,0.056272
203.500,0.497956,0.527344,0.054348
204.000,0.491574,0.520615,0.052424
204.500,0.485193,0.513885,0.050499
205.000,0.478811,0.507156,0.048575
205.500,1.064876,0.539022,0.057150
206.000,1.242805,0.610068,0.087549
206.500,1.304006,0.684010,0.153110
207.000,1.334556,0.750041,0.346934
207.500,1.191645,0.789118,0.729797
208.000,1.054187,0.790321,0.774577
208.500,0.955633,0.782062,0.645826
209.000,0.883274,0.772889,0.527529
209.500,0.829496,0.763432,0.437922
210.000,0.788892,0.753778,0.364508
210.500,0.757187,0.744038,0.307618
211.000,0.732117,0.734164,0.266300
211.500,0.711899,0.724192,0.234202
212.000,0.695245,0.714232,0.209792
212.500,0.680365,0.704355,0.188666
213.000,0.667207,0.694597,0.170972
213.500,0.655708,0.685071,0.157314
214.000,0.644504,0.675618,0.144283
214.500,0.634555,0.666479,0.133928
215.000,0.624785,0.657417,0.124084
215.500,0.615873,0.648721,0.116684
216.000,0.606961,0.640025,0.109284
216.500,0.598417,0.631550,0.102709
217.000,0.590296,0.623327,0.097085
217.500,0.582176,0.615105,0.091461
218.000,0.574395,0.607143,0.086766
218.500,0.566894,0.599396,0.082833
219.000,0.559393,0.591648,0.078901
219.500,0.551892,0.583900,0.074969
220.000,0.544818,0.576525,0.071772
220.500,0.537862,0.569253,0.068775
221.000,0.530905,0.561980,0.065779
221.500,0.523949,0.554707,0.062782
222.000,0.517232,0.547659,0.060297
222.500,0.510685,0.540770,0.058174
223.000,0.504138,0.533880,0.056051
223.500,0.497679,0.527077,0.053988
224.000,0.491434,0.520482,0.052074
224.500,0.485189,0.513886,0.050160
225.000,0.478944,0.507291,0.048245
225.500,1.066556,0.538749,0.057017
226.000,1.241500,0.609929,0.087929
226.500,1.303056,0.683612,0.156407
227.000,1.334612,0.750397,0.339755
227.500,1.192335,0.789157,0.730639
228.000,1.054798,0.790347,0.775010
228.500,0.955863,0.782111,0.646464
229.000,0.883582,0.772927,0.528043
229.500,0.829499,0.763473,0.438037
230.000,0.789840,0.753797,0.366728
230.500,0.757461,0.744041,0.308556
231.000,0.732990,0.734149,0.268020
231.500,0.711648,0.724190,0.234276
232.000,0.694834,0.714206,0.208944
232.500,0.680614,0.704361,0.189289
233.000,0.666978,0.694548,0.170913
233.500,0.655597,0.685043,0.157213
234.000,0.644378,0.675559,0.143847
234.500,0.634652,0.666515,0.134343
235.000,0.625029,0.657500,0.125102
235.500,0.615476,0.648520,0.116029
236.000,0.606991,0.640056,0.109493
236.500,0.598506,0.631592,0.102957
237.000,0.590021,0.623128,0.096422
237.500,0.582246,0.615166,0.091803
238.000,0.574575,0.607279,0.087468
238.500,0.566904,0.599392,0.083134
239.000,0.559233,0.591504,0.078799
239.500,0.551869,0.583880,0.075042
240.000,0.544893,0.576590,0.072017
240.500,0.537917,0.569299,0.068992
241.000,0.530942,0.562009,0.065967
241.500,0.523966,0.554718,0.062942
242.000,0.517098,0.547529,0.060115
242.500,0.510716,0.540800,0.058192
243.000,0.504335,0.534071,0.056269
243.500,0.497954,0.527342,0.054345
244.000,0.491573,0.520614,0.052422
244.500,0.485192,0.513885,0.050499
245.000,0.478811,0.507156,0.048575
245.500,1.064870,0.539022,0.057150
246.000,1.242797,0.610068,0.087551
246.500,1.304009,0.684011,0.153086
247.000,1.334557,0.750042,0.346904
247.500,1.191644,0.789118,0.729803
248.000,1.054186,0.790321,0.774578
248.500,0.955634,0.782062,0.645826
249.000,0.883273,0.772889,0.527527
249.500,0.829495,0.763432,0.437921
