time_ns,mem0,mem1,mem2,mem3
66.000,0.610162,0.520604,0.547711,0.576120
66.500,0.683830,0.514024,0.540774,0.568774
67.000,0.750815,0.507521,0.533925,0.561531
67.500,0.789184,0.539033,0.527171,0.554398
68.000,0.790376,0.610059,0.520505,0.547367
68.500,0.782272,0.683865,0.513925,0.540434
69.000,0.773070,0.750860,0.507425,0.533591
69.500,0.763586,0.789227,0.538919,0.526841
70.000,0.753920,0.790297,0.610017,0.520180
70.500,0.744196,0.782257,0.683944,0.513603
71.000,0.734326,0.773044,0.750791,0.507108
71.500,0.724360,0.763559,0.789190,0.538628
72.000,0.714399,0.753892,0.790289,0.609748
72.500,0.704521,0.744168,0.782256,0.683712
73.000,0.694789,0.734294,0.773028,0.749657
73.500,0.685216,0.724330,0.763549,0.788836
74.000,0.675838,0.714368,0.753881,0.790260
74.500,0.666654,0.704493,0.744154,0.782183
75.000,0.657668,0.694762,0.734280,0.772965
75.500,0.648879,0.685213,0.724319,0.763464
76.000,0.640249,0.675830,0.714363,0.753790
76.500,0.631817,0.666670,0.704508,0.743969
77.000,0.623526,0.657675,0.694764,0.734057
77.500,0.615382,0.648858,0.685187,0.724087
78.000,0.607356,0.640184,0.675744,0.714069
78.500,0.599553,0.631787,0.666616,0.704210
79.000,0.591785,0.623432,0.657538,0.694386
79.500,0.584246,0.615360,0.648806,0.684876
80.000,0.576713,0.607294,0.640081,0.675375
80.500,0.569491,0.599606,0.631822,0.666409
81.000,0.562270,0.591917,0.623563,0.657444
81.500,0.555049,0.584229,0.615304,0.648479
82.000,0.547955,0.576691,0.607229,0.639741
82.500,0.541076,0.569407,0.599465,0.631389
83.000,0.534197,0.562124,0.591702,0.623036
83.500,0.527378,0.554910,0.584021,0.614787
84.000,0.520782,0.547954,0.576648,0.606920
84.500,0.514187,0.540998,0.569275,0.599053
85.000,0.507591,0.534042,0.561902,0.591186
85.500,0.539037,0.527286,0.554764,0.583602
86.000,0.610182,0.520619,0.547728,0.576140
86.500,0.683834,0.514039,0.540790,0.568794
87.000,0.750814,0.507536,0.533941,0.561550
87.500,0.789178,0.539055,0.527187,0.554417
