event_index,spike_time_ns,event_energy_j,event_energy_pj
1,6.412377,3.075702518e-12,3.075703
2,25.142940,3.443269023e-12,3.443269
3,45.136459,3.383566220e-12,3.383566
4,65.136395,3.379868015e-12,3.379868
5,85.136394,3.379807214e-12,3.379807
6,105.136394,3.379806009e-12,3.379806
7,125.136394,3.379805985e-12,3.379806
8,145.136394,3.379805985e-12,3.379806
9,165.136394,3.379805985e-12,3.379806
10,185.136394,3.730215640e-12,3.730216

bootstrap_mean_energy_per_spike_j,bootstrap_mean_energy_per_spike_pj
3.204066357e-12,3.204066
3.258164601e-12,3.258165
3.258164726e-12,3.258165
3.258540624e-12,3.258541
3.258540867e-12,3.258541
3.258540870e-12,3.258541
3.258546829e-12,3.258547
3.258935254e-12,3.258935
3.264529513e-12,3.264530
3.264886925e-12,3.264887
3.265263074e-12,3.265263
3.269141766e-12,3.269142
3.288575073e-12,3.288575
3.288575073e-12,3.288575
3.288581150e-12,3.288581
3.288581153e-12,3.288581
3.288581155e-12,3.288581
3.288581273e-12,3.288581
3.288587356e-12,3.288587
3.288587476e-12,3.288587
3.288587476e-12,3.288587
3.288593554e-12,3.288594
3.288600005e-12,3.288600
3.288951094e-12,3.288951
3.288951214e-12,3.288951
3.288957545e-12,3.288958
3.288963500e-12,3.288963
3.288963623e-12,3.288964
3.288963743e-12,3.288964
3.289333686e-12,3.289334
3.293581587e-12,3.293582
3.293581592e-12,3.293582
3.293581712e-12,3.293582
3.293963814e-12,3.293964
3.294927579e-12,3.294928
3.294933655e-12,3.294934
3.294933657e-12,3.294934
3.294933657e-12,3.294934
3.294939863e-12,3.294940
3.295297272e-12,3.295297
3.295297397e-12,3.295297
3.295297520e-12,3.295298
3.295303475e-12,3.295303
3.295303478e-12,3.295303
3.295303480e-12,3.295303
3.295309681e-12,3.295310
3.295673541e-12,3.295674
3.295679501e-12,3.295680
3.296049565e-12,3.296050
3.299551995e-12,3.299552
3.299564274e-12,3.299564
3.301267552e-12,3.301268
3.301267553e-12,3.301268
3.301643576e-12,3.301644
3.301643576e-12,3.301644
3.301643581e-12,3.301644
3.301643699e-12,3.301644
3.301649902e-12,3.301650
3.302025805e-12,3.302026
3.305904497e-12,3.305904
3.306274195e-12,3.306274
3.307613859e-12,3.307614
3.307620059e-12,3.307620
3.308002409e-12,3.308002
3.318985417e-12,3.318985
3.318985419e-12,3.318985
3.318985540e-12,3.318986
3.318985540e-12,3.318986
3.318985660e-12,3.318986
3.318991497e-12,3.318991
3.318991497e-12,3.318991
3.318991500e-12,3.318991
3.318991870e-12,3.318992
3.318997698e-12,3.318998
3.318997821e-12,3.318998
3.318997823e-12,3.318998
3.318997825e-12,3.318998
3.318997825e-12,3.318998
3.319010231e-12,3.319010
3.319361317e-12,3.319361
3.319361317e-12,3.319361
3.319361440e-12,3.319361
3.319361443e-12,3.319361
3.319361443e-12,3.319361
3.319361561e-12,3.319362
3.319361688e-12,3.319362
