time_ns,phase,mem_meas_v,mem_model_global_step_v,mem_model_piecewise_step_v,out_v,spike_v,dmem_dt_meas_v_per_s,dmem_dt_global_v_per_s,dmem_dt_piecewise_v_per_s
0.000,charge,0.000000000,0.000000000,0.000000000,1.800000000,0.000000000,0.000000e+00,7.389559e+07,6.180863e+07
0.500,charge,0.000000000,0.036947795,0.030904317,1.800000000,0.000000000,0.000000e+00,7.389559e+07,6.180863e+07
1.000,charge,0.000000000,0.036947795,0.030904317,1.800000000,0.000000000,0.000000e+00,7.389559e+07,6.180863e+07
1.500,charge,0.000000000,0.036947795,0.030904317,1.800000000,0.000000000,0.000000e+00,7.389559e+07,6.180863e+07
2.000,charge,0.000000000,0.036947795,0.030904317,1.800000000,0.000000000,0.000000e+00,7.389559e+07,6.180863e+07
2.500,charge,0.000000000,0.036947795,0.030904317,1.800000000,0.000000000,0.000000e+00,7.389559e+07,6.180863e+07
3.000,charge,0.000000000,0.036947795,0.030904317,1.800000000,0.000000000,0.000000e+00,7.389559e+07,6.180863e+07
3.500,charge,0.000000000,0.036947795,0.030904317,1.800000000,0.000000000,0.000000e+00,7.389559e+07,6.180863e+07
4.000,charge,0.000000000,0.036947795,0.030904317,1.800000000,0.000000000,0.000000e+00,7.389559e+07,6.180863e+07
4.500,charge,0.000000000,0.036947795,0.030904317,1.800000000,0.000000000,0.000000e+00,7.389559e+07,6.180863e+07
5.000,charge,0.000000000,0.036947795,0.030904317,1.800000000,0.000000000,5.998360e+08,7.389559e+07,6.180863e+07
5.500,charge,0.299918000,0.036947795,0.030904317,1.800002000,0.000595000,5.997760e+08,6.670255e+07,4.301882e+08
6.000,charge,0.599806000,0.333269276,0.515012122,1.799930000,0.015594000,5.875480e+08,5.887961e+07,6.933631e+08
6.500,reset,0.893580000,0.629245807,0.946487541,0.002003000,1.707689000,5.225900e+08,-4.063295e+06,-3.449039e+07
7.000,reset,1.154875000,0.891548352,0.876334805,0.000028000,1.792379000,8.106200e+07,-1.399945e+07,1.022739e+07
7.500,reset,1.195406000,1.147875277,1.159988696,0.000003000,1.794997000,-8.495400e+07,-1.508249e+07,8.729192e+06
8.000,reset,1.152929000,1.187864755,1.199770596,0.000008000,1.792594000,-8.275400e+07,-1.396217e+07,1.044940e+07
8.500,reset,1.111552000,1.145947917,1.158153698,0.000021000,1.788955000,-8.196200e+07,-1.281403e+07,1.081315e+07
9.000,reset,1.070571000,1.105144984,1.116958573,0.000038000,1.784835000,-7.640200e+07,-1.165432e+07,1.066127e+07
9.500,reset,1.032370000,1.064743841,1.075901633,0.000162000,1.774591000,-7.627400e+07,-1.029369e+07,4.741950e+06
10.000,reset,0.994233000,1.027223156,1.034740975,0.000290000,1.764204000,-7.627200e+07,-8.928362e+06,-1.296653e+06
10.500,reset,0.956097000,0.989768819,0.993584673,0.000417000,1.753817000,-7.319400e+07,-7.563048e+06,-7.345543e+06
11.000,reset,0.919500000,0.952315476,0.952424229,0.000763000,1.736512000,-6.763400e+07,-5.933498e+06,-1.874985e+07
11.500,reset,0.885683000,0.916533251,0.910125074,0.002245000,1.698736000,-6.613600e+07,-3.484606e+06,-4.085347e+07
